question_id,related_question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,w2v_cosine_similarity,relevance
Q278,Q278_R7,Q278_R7_C9,0.965,165,0.929,0.266,Bad
Q278,Q278_R7,Q278_R7_C10,0.983,310,0.587,-0.083,Bad
Q278,Q278_R14,Q278_R14_C1,0.857,292,0.971,0.517,Bad
Q278,Q278_R14,Q278_R14_C2,0.872,149,0.945,0.115,PotentiallyUseful
Q278,Q278_R14,Q278_R14_C3,0.895,398,0.932,0.43,PotentiallyUseful
Q278,Q278_R14,Q278_R14_C4,0.816,416,0.981,0.376,PotentiallyUseful
Q278,Q278_R14,Q278_R14_C5,0.864,276,0.984,0.45,Bad
Q278,Q278_R14,Q278_R14_C6,0.859,264,0.969,0.596,Bad
Q278,Q278_R14,Q278_R14_C7,0.888,322,0.972,0.466,Bad
Q278,Q278_R14,Q278_R14_C8,0.821,57,0.982,0.65,PotentiallyUseful
Q278,Q278_R14,Q278_R14_C9,0.863,13,0.98,0.348,Bad
Q278,Q278_R14,Q278_R14_C10,0.988,429,0.837,0.031,Bad
Q278,Q278_R17,Q278_R17_C1,0.915,207,0.944,0.313,Bad
Q278,Q278_R17,Q278_R17_C2,0.894,219,0.97,0.624,Bad
Q278,Q278_R17,Q278_R17_C3,0.93,317,0.948,0.319,Good
Q278,Q278_R17,Q278_R17_C4,0.983,273,0.612,0.106,PotentiallyUseful
Q278,Q278_R17,Q278_R17_C5,0.944,217,0.916,0.363,PotentiallyUseful
Q278,Q278_R17,Q278_R17_C6,0.944,208,0.914,0.142,Bad
Q278,Q278_R17,Q278_R17_C7,0.952,250,0.89,0.155,Bad
Q278,Q278_R17,Q278_R17_C8,0.985,239,0.934,0.357,Bad
Q278,Q278_R17,Q278_R17_C9,0.924,219,0.911,0.303,PotentiallyUseful
Q278,Q278_R17,Q278_R17_C10,0.983,273,0.848,0.449,Bad
Q278,Q278_R28,Q278_R28_C1,0.95,61,0.83,0.372,Good
Q278,Q278_R28,Q278_R28_C2,0.889,61,0.708,0.388,Bad
Q278,Q278_R28,Q278_R28_C3,1.0,29,0.861,0.278,Bad
Q278,Q278_R28,Q278_R28_C4,1.0,64,0.448,-0.031,Bad
Q278,Q278_R28,Q278_R28_C5,0.97,14,0.885,0.291,PotentiallyUseful
Q278,Q278_R28,Q278_R28_C6,0.867,20,0.936,0.604,Bad
Q278,Q278_R28,Q278_R28_C7,0.907,81,0.911,0.383,Bad
Q278,Q278_R28,Q278_R28_C8,0.911,141,0.927,0.531,Bad
Q278,Q278_R28,Q278_R28_C9,0.923,127,0.93,0.345,Good
Q278,Q278_R28,Q278_R28_C10,0.923,459,0.95,0.694,Good
Q278,Q278_R34,Q278_R34_C1,0.923,233,0.872,0.116,Good
Q278,Q278_R34,Q278_R34_C2,0.976,233,0.768,0.197,Good
Q278,Q278_R34,Q278_R34_C3,0.952,108,0.876,-0.009,Good
Q278,Q278_R34,Q278_R34_C4,0.978,200,0.887,0.144,Good
Q278,Q278_R34,Q278_R34_C5,0.98,131,0.771,0.18,Bad
Q278,Q278_R34,Q278_R34_C6,0.937,9,0.914,0.101,Good
Q278,Q278_R34,Q278_R34_C7,0.976,237,0.608,0.064,Good
Q278,Q278_R34,Q278_R34_C8,0.918,75,0.843,0.183,Good
Q278,Q278_R34,Q278_R34_C9,0.974,239,0.576,-0.028,Bad
Q278,Q278_R34,Q278_R34_C10,0.93,214,0.855,0.113,Bad
Q278,Q278_R37,Q278_R37_C1,0.927,150,0.859,0.262,Good
Q278,Q278_R37,Q278_R37_C2,0.862,79,0.968,0.451,Bad
Q278,Q278_R37,Q278_R37_C3,0.938,96,0.936,0.414,PotentiallyUseful
Q278,Q278_R37,Q278_R37_C4,0.902,11,0.951,0.541,Bad
Q278,Q278_R37,Q278_R37_C5,0.923,81,0.908,0.048,Good
Q278,Q278_R37,Q278_R37_C6,0.873,42,0.959,0.387,PotentiallyUseful
Q278,Q278_R37,Q278_R37_C7,0.856,205,0.971,0.514,Bad
Q278,Q278_R37,Q278_R37_C8,0.955,103,0.93,0.248,Bad
Q278,Q278_R37,Q278_R37_C9,0.87,392,0.977,0.423,Good
Q278,Q278_R37,Q278_R37_C10,0.875,477,0.979,0.499,PotentiallyUseful
Q278,Q278_R41,Q278_R41_C1,0.95,61,0.631,-0.027,Bad
Q278,Q278_R41,Q278_R41_C2,0.941,13,0.855,0.38,PotentiallyUseful
Q278,Q278_R41,Q278_R41_C3,1.0,14,0.881,0.314,Bad
Q278,Q278_R41,Q278_R41_C4,1.0,56,0.646,-0.099,Bad
Q278,Q278_R41,Q278_R41_C5,0.897,26,0.904,0.399,PotentiallyUseful
Q278,Q278_R41,Q278_R41_C6,1.0,63,0.755,0.171,Bad
Q278,Q278_R41,Q278_R41_C7,0.85,45,0.767,0.441,Bad
Q278,Q278_R41,Q278_R41_C8,0.925,54,0.936,0.577,PotentiallyUseful
Q278,Q278_R41,Q278_R41_C9,1.0,98,0.896,0.275,Good
Q278,Q278_R41,Q278_R41_C10,0.928,327,0.901,0.319,Good
Q278,Q278_R45,Q278_R45_C1,0.769,47,0.84,0.37,PotentiallyUseful
Q278,Q278_R45,Q278_R45_C2,0.75,25,0.848,0.234,PotentiallyUseful
Q278,Q278_R45,Q278_R45_C3,0.96,185,0.871,0.3,Bad
Q278,Q278_R45,Q278_R45_C4,1.0,36,0.768,0.217,Good
Q278,Q278_R45,Q278_R45_C5,0.914,68,0.886,0.354,Good
Q278,Q278_R45,Q278_R45_C6,0.96,28,0.799,0.11,PotentiallyUseful
Q278,Q278_R45,Q278_R45_C7,1.0,18,0.81,0.153,Good
Q278,Q278_R45,Q278_R45_C8,1.0,6,0.705,0.054,Bad
Q278,Q278_R45,Q278_R45_C9,0.871,46,0.868,0.381,PotentiallyUseful
Q278,Q278_R45,Q278_R45_C10,1.0,59,0.722,0.302,PotentiallyUseful
Q278,Q278_R48,Q278_R48_C1,0.905,322,0.941,0.58,Good
Q278,Q278_R48,Q278_R48_C2,0.947,384,0.922,0.346,Bad
Q278,Q278_R48,Q278_R48_C3,0.902,330,0.942,0.653,Good
Q278,Q278_R48,Q278_R48_C4,0.912,350,0.93,0.399,Bad
Q278,Q278_R48,Q278_R48_C5,0.832,64,0.964,0.436,Good
Q278,Q278_R48,Q278_R48_C6,0.908,374,0.933,0.494,Bad
Q278,Q278_R48,Q278_R48_C7,0.903,262,0.904,0.228,Bad
Q278,Q278_R48,Q278_R48_C8,0.873,114,0.93,0.223,Bad
Q278,Q278_R48,Q278_R48_C9,0.872,121,0.963,0.465,Bad
Q278,Q278_R48,Q278_R48_C10,0.938,352,0.888,0.32,Bad
Q278,Q278_R52,Q278_R52_C1,0.974,2,0.87,0.14,Bad
Q278,Q278_R52,Q278_R52_C2,0.958,61,0.784,0.064,Good
Q278,Q278_R52,Q278_R52_C3,1.0,19,0.677,-0.025,Good
Q278,Q278_R52,Q278_R52_C4,0.903,3,0.899,0.552,Good
Q278,Q278_R52,Q278_R52_C5,0.947,12,0.894,0.398,Bad
Q278,Q278_R52,Q278_R52_C6,1.0,84,0.769,0.172,Bad
Q278,Q278_R52,Q278_R52_C7,1.0,9,0.881,0.222,Bad
Q278,Q278_R52,Q278_R52_C8,0.966,53,0.857,0.179,Good
Q278,Q278_R52,Q278_R52_C9,0.92,55,0.833,0.25,Good
Q278,Q278_R52,Q278_R52_C10,0.9,73,0.89,0.418,Bad
Q279,Q279_R5,Q279_R5_C1,0.9,102,0.921,0.147,Good
Q279,Q279_R5,Q279_R5_C2,0.982,221,0.882,0.165,Bad
Q279,Q279_R5,Q279_R5_C3,0.935,176,0.875,0.069,Good
Q279,Q279_R5,Q279_R5_C4,0.882,122,0.964,0.357,Bad
Q279,Q279_R5,Q279_R5_C5,0.898,176,0.9,0.231,Bad
Q279,Q279_R5,Q279_R5_C6,0.931,200,0.876,0.227,Good
Q279,Q279_R5,Q279_R5_C7,0.881,30,0.967,0.314,PotentiallyUseful
Q279,Q279_R5,Q279_R5_C8,0.891,130,0.933,0.255,PotentiallyUseful
Q279,Q279_R5,Q279_R5_C9,0.902,157,0.925,0.239,Good
Q279,Q279_R5,Q279_R5_C10,0.892,555,0.963,0.367,PotentiallyUseful
Q279,Q279_R6,Q279_R6_C1,0.883,36,0.938,0.555,PotentiallyUseful
Q279,Q279_R6,Q279_R6_C2,0.966,15,0.903,0.214,Bad
Q279,Q279_R6,Q279_R6_C3,0.909,62,0.933,0.209,Bad
Q279,Q279_R6,Q279_R6_C4,0.938,53,0.89,0.156,PotentiallyUseful
Q279,Q279_R6,Q279_R6_C5,0.971,81,0.0,0.07,PotentiallyUseful
Q279,Q279_R6,Q279_R6_C6,0.907,13,0.93,0.374,Good
Q279,Q279_R6,Q279_R6_C7,0.932,98,0.905,0.512,Bad
Q279,Q279_R6,Q279_R6_C8,0.898,211,0.94,0.364,Bad
Q279,Q279_R6,Q279_R6_C9,0.886,136,0.937,0.322,PotentiallyUseful
Q279,Q279_R6,Q279_R6_C10,0.964,33,0.903,0.227,Bad
Q279,Q279_R8,Q279_R8_C1,0.984,195,0.867,0.011,Good
Q279,Q279_R8,Q279_R8_C2,0.86,86,0.955,0.608,PotentiallyUseful
Q279,Q279_R8,Q279_R8_C3,0.94,59,0.883,0.198,Good
Q279,Q279_R8,Q279_R8_C4,0.923,234,0.875,0.255,Good
Q279,Q279_R8,Q279_R8_C5,0.944,138,0.895,0.011,Bad
Q279,Q279_R8,Q279_R8_C6,0.902,249,0.939,0.168,PotentiallyUseful
Q279,Q279_R8,Q279_R8_C7,0.909,233,0.893,0.226,Bad
Q279,Q279_R8,Q279_R8_C8,0.907,87,0.957,0.481,Bad
Q279,Q279_R8,Q279_R8_C9,0.907,87,0.957,0.481,Bad
Q279,Q279_R8,Q279_R8_C10,0.905,264,0.956,0.401,PotentiallyUseful
Q279,Q279_R10,Q279_R10_C1,0.932,364,0.951,0.43,Good
Q279,Q279_R10,Q279_R10_C2,1.0,63,0.867,-0.045,Good
Q279,Q279_R10,Q279_R10_C3,0.921,111,0.889,0.255,Bad
Q279,Q279_R10,Q279_R10_C4,0.872,104,0.89,0.246,PotentiallyUseful
Q279,Q279_R10,Q279_R10_C5,0.833,44,0.944,0.511,Good
Q279,Q279_R10,Q279_R10_C6,0.95,107,0.714,0.248,PotentiallyUseful
Q279,Q279_R10,Q279_R10_C7,0.957,90,0.847,0.342,PotentiallyUseful
Q279,Q279_R10,Q279_R10_C8,0.902,56,0.872,0.068,PotentiallyUseful
Q279,Q279_R10,Q279_R10_C9,0.903,262,0.933,0.241,Good
Q279,Q279_R10,Q279_R10_C10,0.885,57,0.948,0.574,Bad
Q279,Q279_R18,Q279_R18_C1,0.902,57,0.937,0.269,Good
Q279,Q279_R18,Q279_R18_C2,0.825,154,0.964,0.379,Good
Q279,Q279_R18,Q279_R18_C3,0.935,189,0.907,0.107,Good
Q279,Q279_R18,Q279_R18_C4,0.962,231,0.796,0.279,Bad
Q279,Q279_R18,Q279_R18_C5,0.924,139,0.939,0.266,Bad
Q279,Q279_R18,Q279_R18_C6,0.804,246,0.978,0.51,Bad
Q279,Q279_R18,Q279_R18_C7,0.915,202,0.924,0.358,Bad
Q279,Q279_R18,Q279_R18_C8,0.89,731,0.95,-0.052,PotentiallyUseful
Q279,Q279_R18,Q279_R18_C9,0.983,221,0.787,-0.002,Bad
Q279,Q279_R18,Q279_R18_C10,0.981,260,0.694,0.11,Bad
Q279,Q279_R27,Q279_R27_C1,0.855,57,0.96,0.622,Good
Q279,Q279_R27,Q279_R27_C2,0.745,71,0.965,0.641,Bad
Q279,Q279_R27,Q279_R27_C3,0.845,85,0.959,0.575,Bad
Q279,Q279_R27,Q279_R27_C4,0.826,106,0.951,0.447,Bad
Q279,Q279_R27,Q279_R27_C5,0.78,95,0.962,0.621,Bad
Q279,Q279_R27,Q279_R27_C6,1.0,192,0.751,0.212,Bad
Q279,Q279_R27,Q279_R27_C7,0.86,48,0.958,0.467,PotentiallyUseful
Q279,Q279_R27,Q279_R27_C8,0.927,100,0.921,0.332,Good
Q279,Q279_R27,Q279_R27_C9,0.956,165,0.761,0.411,Bad
Q279,Q279_R27,Q279_R27_C10,0.815,79,0.954,0.44,PotentiallyUseful
Q279,Q279_R28,Q279_R28_C1,0.971,95,0.872,0.376,PotentiallyUseful
Q279,Q279_R28,Q279_R28_C2,0.889,52,0.956,0.563,Bad
Q279,Q279_R28,Q279_R28_C3,0.951,370,0.96,0.369,Good
Q279,Q279_R28,Q279_R28_C4,0.892,45,0.955,0.559,Bad
Q279,Q279_R28,Q279_R28_C5,0.925,622,0.963,0.43,PotentiallyUseful
Q279,Q279_R28,Q279_R28_C6,0.932,866,0.953,0.491,Good
Q279,Q279_R28,Q279_R28_C7,0.941,76,0.904,0.405,Bad
Q279,Q279_R28,Q279_R28_C8,0.941,76,0.904,0.405,Bad
Q279,Q279_R28,Q279_R28_C9,1.0,114,0.858,0.347,Bad
Q279,Q279_R28,Q279_R28_C10,0.865,43,0.964,0.584,Bad
Q279,Q279_R30,Q279_R30_C1,0.885,183,0.955,0.353,Good
Q279,Q279_R30,Q279_R30_C2,0.958,382,0.847,0.22,Good
Q279,Q279_R30,Q279_R30_C3,0.946,360,0.92,0.179,Good
Q279,Q279_R30,Q279_R30_C4,0.922,348,0.942,0.385,PotentiallyUseful
Q279,Q279_R30,Q279_R30_C5,0.944,379,0.904,0.346,Bad
Q279,Q279_R30,Q279_R30_C6,1.0,410,0.0,0.026,Bad
Q279,Q279_R30,Q279_R30_C7,0.937,334,0.954,0.483,Good
Q279,Q279_R30,Q279_R30_C8,0.852,204,0.927,0.448,Bad
Q279,Q279_R30,Q279_R30_C9,0.911,326,0.961,-0.011,Good
Q279,Q279_R30,Q279_R30_C10,0.823,3,0.966,0.388,Good
Q279,Q279_R33,Q279_R33_C1,0.852,107,0.952,0.385,PotentiallyUseful
Q279,Q279_R33,Q279_R33_C2,0.908,357,0.819,0.344,Bad
Q279,Q279_R33,Q279_R33_C3,0.951,334,0.889,0.369,Bad
Q279,Q279_R33,Q279_R33_C4,0.929,295,0.937,0.35,Bad
Q279,Q279_R33,Q279_R33_C5,0.863,295,0.943,0.473,Bad
Q279,Q279_R33,Q279_R33_C6,0.987,336,0.835,0.094,PotentiallyUseful
Q279,Q279_R33,Q279_R33_C7,0.885,9,0.933,0.111,Good
Q279,Q279_R33,Q279_R33_C8,0.909,259,0.954,0.468,Bad
Q279,Q279_R33,Q279_R33_C9,0.973,359,0.912,0.287,Bad
Q279,Q279_R33,Q279_R33_C10,0.867,166,0.956,0.514,Bad
Q279,Q279_R36,Q279_R36_C1,0.942,207,0.872,0.24,Bad
Q279,Q279_R36,Q279_R36_C2,0.943,119,0.928,0.141,Good
Q279,Q279_R36,Q279_R36_C3,0.913,84,0.927,0.268,Good
Q279,Q279_R36,Q279_R36_C4,0.87,203,0.889,0.251,Bad
Q279,Q279_R36,Q279_R36_C5,0.952,125,0.0,0.028,PotentiallyUseful
Q279,Q279_R36,Q279_R36_C6,1.0,245,0.59,-0.041,Bad
Q279,Q279_R36,Q279_R36_C7,0.93,100,0.939,0.011,PotentiallyUseful
Q279,Q279_R36,Q279_R36_C8,0.881,88,0.961,0.243,Good
Q279,Q279_R36,Q279_R36_C9,0.939,141,0.947,0.064,PotentiallyUseful
Q279,Q279_R36,Q279_R36_C10,0.908,79,0.944,0.211,Good
Q280,Q280_R5,Q280_R5_C1,0.891,63,0.924,0.353,Good
Q280,Q280_R5,Q280_R5_C2,0.904,39,0.93,0.32,Good
Q280,Q280_R5,Q280_R5_C3,0.868,130,0.928,0.359,Bad
Q280,Q280_R5,Q280_R5_C4,0.929,104,0.897,0.323,Good
Q280,Q280_R5,Q280_R5_C5,0.973,152,0.917,0.399,Bad
Q280,Q280_R5,Q280_R5_C6,0.932,10,0.942,0.289,Bad
Q280,Q280_R5,Q280_R5_C7,0.846,93,0.924,0.414,Good
Q280,Q280_R5,Q280_R5_C8,0.932,37,0.942,0.131,Bad
Q280,Q280_R5,Q280_R5_C9,0.947,139,0.889,0.316,Good
Q280,Q280_R5,Q280_R5_C10,0.846,32,0.949,0.523,Bad
Q280,Q280_R11,Q280_R11_C1,0.971,73,0.347,0.01,PotentiallyUseful
Q280,Q280_R11,Q280_R11_C2,0.929,193,0.929,0.202,Good
Q280,Q280_R11,Q280_R11_C3,0.885,242,0.844,0.338,Good
Q280,Q280_R11,Q280_R11_C4,0.934,531,0.947,0.097,Good
Q280,Q280_R11,Q280_R11_C5,0.982,206,0.889,0.169,Bad
Q280,Q280_R11,Q280_R11_C6,0.879,272,0.963,0.409,PotentiallyUseful
Q280,Q280_R11,Q280_R11_C7,1.0,242,0.0,0.073,Bad
Q280,Q280_R11,Q280_R11_C8,0.932,110,0.946,0.264,Good
Q280,Q280_R11,Q280_R11_C9,0.92,29,0.515,0.177,PotentiallyUseful
Q280,Q280_R11,Q280_R11_C10,0.871,90,0.573,0.297,Bad
Q280,Q280_R19,Q280_R19_C1,0.971,9,0.872,0.186,Good
Q280,Q280_R19,Q280_R19_C2,1.0,33,0.794,0.06,Good
Q280,Q280_R19,Q280_R19_C3,0.933,4,0.817,0.006,Good
Q280,Q280_R19,Q280_R19_C4,0.972,21,0.872,0.073,Good
Q280,Q280_R19,Q280_R19_C5,0.929,23,0.867,0.064,Good
Q280,Q280_R19,Q280_R19_C6,1.0,21,0.786,-0.032,Good
Q280,Q280_R19,Q280_R19_C7,0.909,89,0.938,0.236,Good
Q280,Q280_R19,Q280_R19_C8,1.0,102,0.934,0.247,Good
Q280,Q280_R19,Q280_R19_C9,1.0,68,0.794,0.169,Good
Q280,Q280_R19,Q280_R19_C10,0.976,75,0.921,0.134,Good
Q280,Q280_R21,Q280_R21_C1,0.949,141,0.948,0.365,Bad
Q280,Q280_R21,Q280_R21_C2,0.889,155,0.956,0.221,Bad
Q280,Q280_R21,Q280_R21_C3,0.879,118,0.956,0.505,PotentiallyUseful
Q280,Q280_R21,Q280_R21_C4,0.889,123,0.943,0.303,Bad
Q280,Q280_R21,Q280_R21_C5,0.912,164,0.922,0.361,Bad
Q280,Q280_R21,Q280_R21_C6,0.83,186,0.96,0.649,Bad
Q280,Q280_R21,Q280_R21_C7,0.979,205,0.867,0.144,PotentiallyUseful
Q280,Q280_R21,Q280_R21_C8,0.865,26,0.962,0.319,PotentiallyUseful
Q280,Q280_R21,Q280_R21_C9,0.902,11,0.937,0.3,Good
Q280,Q280_R21,Q280_R21_C10,0.898,672,0.949,0.519,Good
Q280,Q280_R39,Q280_R39_C1,0.914,118,0.896,0.24,Good
Q280,Q280_R39,Q280_R39_C2,0.918,109,0.912,0.245,Good
Q280,Q280_R39,Q280_R39_C3,0.887,134,0.926,0.237,Good
Q280,Q280_R39,Q280_R39_C4,0.938,102,0.873,0.135,Bad
Q280,Q280_R39,Q280_R39_C5,0.885,80,0.952,0.24,Bad
Q280,Q280_R39,Q280_R39_C6,0.946,121,0.846,0.383,Good
Q280,Q280_R39,Q280_R39_C7,0.839,2,0.941,0.38,Good
Q280,Q280_R39,Q280_R39_C8,0.922,75,0.908,0.164,Bad
Q280,Q280_R39,Q280_R39_C9,0.929,149,0.962,0.404,Good
Q280,Q280_R39,Q280_R39_C10,0.881,238,0.947,0.376,Good
Q280,Q280_R41,Q280_R41_C1,0.967,238,0.791,-0.048,Good
Q280,Q280_R41,Q280_R41_C2,0.978,85,0.842,0.019,Good
Q280,Q280_R41,Q280_R41_C3,0.956,109,0.838,0.224,Good
Q280,Q280_R41,Q280_R41_C4,0.956,102,0.836,0.195,Bad
Q280,Q280_R41,Q280_R41_C5,1.0,36,0.836,0.245,Bad
Q280,Q280_R41,Q280_R41_C6,0.982,912,0.79,0.035,Good
Q280,Q280_R41,Q280_R41_C7,0.987,446,0.787,-0.113,Good
Q280,Q280_R41,Q280_R41_C8,0.991,615,0.829,-0.069,Good
Q280,Q280_R41,Q280_R41_C9,0.988,424,0.788,-0.018,Good
Q280,Q280_R41,Q280_R41_C10,0.98,111,0.905,0.259,Bad
Q280,Q280_R45,Q280_R45_C1,0.985,354,0.801,0.215,Good
Q280,Q280_R45,Q280_R45_C2,0.912,317,0.854,0.239,Bad
Q280,Q280_R45,Q280_R45_C3,0.969,354,0.667,0.143,Bad
Q280,Q280_R45,Q280_R45_C4,0.878,198,0.897,0.082,Good
Q280,Q280_R45,Q280_R45_C5,0.976,277,0.897,-0.032,Good
Q280,Q280_R45,Q280_R45_C6,0.97,349,0.819,0.197,Bad
Q280,Q280_R45,Q280_R45_C7,0.922,279,0.911,0.071,PotentiallyUseful
Q280,Q280_R45,Q280_R45_C8,0.83,195,0.977,0.674,Bad
Q280,Q280_R45,Q280_R45_C9,0.948,294,0.937,0.212,Bad
Q280,Q280_R45,Q280_R45_C10,0.909,170,0.947,0.257,Good
Q280,Q280_R46,Q280_R46_C1,0.873,67,0.954,0.559,Good
Q280,Q280_R46,Q280_R46_C2,0.833,132,0.95,0.544,Bad
Q280,Q280_R46,Q280_R46_C3,0.95,164,0.832,0.295,Bad
Q280,Q280_R46,Q280_R46_C4,0.866,66,0.951,0.536,PotentiallyUseful
Q280,Q280_R46,Q280_R46_C5,0.935,132,0.922,0.485,PotentiallyUseful
Q280,Q280_R46,Q280_R46_C6,0.973,184,0.605,0.027,Bad
Q280,Q280_R46,Q280_R46_C7,0.896,250,0.958,0.404,PotentiallyUseful
Q280,Q280_R46,Q280_R46_C8,0.923,7,0.92,0.312,Bad
Q280,Q280_R46,Q280_R46_C9,0.871,50,0.954,0.444,Bad
Q280,Q280_R46,Q280_R46_C10,0.887,8,0.934,0.321,PotentiallyUseful
Q280,Q280_R48,Q280_R48_C1,1.0,284,0.0,-0.066,Bad
Q280,Q280_R48,Q280_R48_C2,1.0,270,0.741,0.204,Bad
Q280,Q280_R48,Q280_R48_C3,0.918,183,0.932,0.457,Good
Q280,Q280_R48,Q280_R48_C4,0.962,246,0.891,0.284,Good
Q280,Q280_R48,Q280_R48_C5,0.847,157,0.955,0.439,Good
Q280,Q280_R48,Q280_R48_C6,0.96,277,0.853,0.208,Bad
Q280,Q280_R48,Q280_R48_C7,0.928,147,0.922,0.059,Good
Q280,Q280_R48,Q280_R48_C8,1.0,262,0.802,0.163,PotentiallyUseful
Q280,Q280_R48,Q280_R48_C9,0.873,104,0.917,0.3,PotentiallyUseful
Q280,Q280_R48,Q280_R48_C10,0.863,516,0.939,0.234,PotentiallyUseful
Q280,Q280_R67,Q280_R67_C1,0.868,522,0.953,0.542,Good
Q280,Q280_R67,Q280_R67_C2,0.946,179,0.877,0.241,Good
Q280,Q280_R67,Q280_R67_C3,0.923,72,0.844,0.166,PotentiallyUseful
Q280,Q280_R67,Q280_R67_C4,0.876,377,0.93,0.269,PotentiallyUseful
Q280,Q280_R67,Q280_R67_C5,0.896,110,0.91,0.492,Bad
Q280,Q280_R67,Q280_R67_C6,0.896,110,0.91,0.492,Bad
Q280,Q280_R67,Q280_R67_C7,0.93,147,0.794,0.101,PotentiallyUseful
Q280,Q280_R67,Q280_R67_C8,1.0,197,0.604,0.076,Good
Q280,Q280_R67,Q280_R67_C9,0.909,137,0.9,0.379,Bad
Q280,Q280_R67,Q280_R67_C10,0.907,82,0.925,0.237,Good
Q281,Q281_R32,Q281_R32_C1,0.898,14,0.943,0.212,Good
Q281,Q281_R32,Q281_R32_C2,0.963,4,0.858,0.103,Bad
Q281,Q281_R32,Q281_R32_C3,0.871,71,0.932,0.172,Good
Q281,Q281_R32,Q281_R32_C4,0.965,9,0.89,0.301,Bad
Q281,Q281_R32,Q281_R32_C5,0.93,50,0.896,0.093,Good
Q281,Q281_R32,Q281_R32_C6,0.914,34,0.93,0.278,Bad
Q281,Q281_R32,Q281_R32_C7,0.925,47,0.931,0.231,Bad
Q281,Q281_R32,Q281_R32_C8,0.895,133,0.805,0.042,Good
Q281,Q281_R32,Q281_R32_C9,0.976,141,0.747,0.051,Good
Q281,Q281_R32,Q281_R32_C10,0.883,306,0.957,0.099,Good
Q281,Q281_R37,Q281_R37_C1,0.916,61,0.967,0.105,Good
Q281,Q281_R37,Q281_R37_C2,0.819,129,0.965,0.533,Good
Q281,Q281_R37,Q281_R37_C3,0.898,221,0.959,0.526,Good
Q281,Q281_R37,Q281_R37_C4,0.892,250,0.958,0.364,Bad
Q281,Q281_R37,Q281_R37_C5,0.882,35,0.965,0.41,Good
Q281,Q281_R37,Q281_R37_C6,0.899,575,0.961,0.141,Good
Q281,Q281_R37,Q281_R37_C7,0.902,207,0.968,0.323,Bad
Q281,Q281_R37,Q281_R37_C8,0.861,501,0.97,0.304,Good
Q281,Q281_R37,Q281_R37_C9,0.894,130,0.959,0.24,Good
Q281,Q281_R37,Q281_R37_C10,0.871,589,0.981,0.489,PotentiallyUseful
Q281,Q281_R38,Q281_R38_C1,0.842,77,0.962,0.452,PotentiallyUseful
Q281,Q281_R38,Q281_R38_C2,0.83,37,0.947,0.537,Bad
Q281,Q281_R38,Q281_R38_C3,0.906,86,0.965,0.372,Good
Q281,Q281_R38,Q281_R38_C4,0.882,14,0.923,0.224,Good
Q281,Q281_R38,Q281_R38_C5,0.96,14,0.921,0.09,Good
Q281,Q281_R38,Q281_R38_C6,0.941,374,0.964,0.196,Good
Q281,Q281_R38,Q281_R38_C7,0.966,10,0.941,0.253,Good
Q281,Q281_R38,Q281_R38_C8,0.953,78,0.909,0.197,Bad
Q281,Q281_R38,Q281_R38_C9,0.918,347,0.932,0.169,Good
Q281,Q281_R38,Q281_R38_C10,0.879,39,0.972,0.369,Bad
Q281,Q281_R40,Q281_R40_C1,0.863,38,0.967,0.507,Good
Q281,Q281_R40,Q281_R40_C2,0.893,245,0.945,0.518,PotentiallyUseful
Q281,Q281_R40,Q281_R40_C3,0.93,272,0.815,0.076,Bad
Q281,Q281_R40,Q281_R40_C4,0.954,316,0.798,0.135,Bad
Q281,Q281_R40,Q281_R40_C5,0.844,377,0.976,0.494,Bad
Q281,Q281_R40,Q281_R40_C6,0.876,146,0.952,0.329,Good
Q281,Q281_R40,Q281_R40_C7,0.849,441,0.981,0.664,Bad
Q281,Q281_R40,Q281_R40_C8,0.859,383,0.96,0.353,Good
Q281,Q281_R40,Q281_R40_C9,0.924,315,0.931,0.53,Bad
Q281,Q281_R40,Q281_R40_C10,0.976,185,0.923,0.284,PotentiallyUseful
Q281,Q281_R45,Q281_R45_C1,0.867,50,0.944,0.338,Good
Q281,Q281_R45,Q281_R45_C2,0.907,216,0.851,0.395,Good
Q281,Q281_R45,Q281_R45_C3,0.704,79,0.983,0.769,Bad
Q281,Q281_R45,Q281_R45_C4,0.893,221,0.971,0.505,Good
Q281,Q281_R45,Q281_R45_C5,0.771,212,0.983,0.661,Bad
Q281,Q281_R45,Q281_R45_C6,0.91,499,0.961,0.232,Good
Q281,Q281_R45,Q281_R45_C7,0.842,73,0.971,0.508,Bad
Q281,Q281_R45,Q281_R45_C8,0.781,45,0.954,0.599,PotentiallyUseful
Q281,Q281_R45,Q281_R45_C9,0.962,244,0.877,0.173,Bad
Q281,Q281_R45,Q281_R45_C10,0.909,211,0.923,0.39,Bad
Q281,Q281_R49,Q281_R49_C1,0.769,47,0.84,0.37,PotentiallyUseful
Q281,Q281_R49,Q281_R49_C2,0.75,25,0.848,0.234,PotentiallyUseful
Q281,Q281_R49,Q281_R49_C3,0.96,185,0.871,0.3,Bad
Q281,Q281_R49,Q281_R49_C4,1.0,36,0.768,0.217,Good
Q281,Q281_R49,Q281_R49_C5,0.914,68,0.886,0.354,Good
Q281,Q281_R49,Q281_R49_C6,0.96,28,0.799,0.11,PotentiallyUseful
Q281,Q281_R49,Q281_R49_C7,1.0,18,0.81,0.153,Good
