original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,relevance
Q51,Q51_R28,0.951,283,0.921,Irrelevant
Q51,Q51_R37,0.912,278,0.953,Relevant
Q51,Q51_R41,0.857,21,0.961,Irrelevant
Q51,Q51_R47,0.867,137,0.968,Relevant
Q52,Q52_R4,0.932,88,0.93,Relevant
Q52,Q52_R10,1.0,89,0.902,Relevant
Q52,Q52_R18,0.934,104,0.901,Irrelevant
Q52,Q52_R19,0.917,4,0.91,Irrelevant
Q52,Q52_R29,0.918,117,0.939,Irrelevant
Q52,Q52_R34,1.0,131,0.75,Irrelevant
Q52,Q52_R38,0.922,94,0.884,Irrelevant
Q52,Q52_R42,0.894,233,0.943,Relevant
Q52,Q52_R43,0.89,94,0.938,Irrelevant
Q52,Q52_R45,0.896,261,0.926,Irrelevant
Q53,Q53_R8,0.93,266,0.947,Irrelevant
Q53,Q53_R11,0.907,98,0.938,Irrelevant
Q53,Q53_R18,0.955,277,0.946,Irrelevant
Q53,Q53_R32,0.987,314,0.938,Irrelevant
Q53,Q53_R35,0.982,226,0.912,Irrelevant
Q53,Q53_R38,0.926,372,0.956,Irrelevant
Q53,Q53_R41,0.961,355,0.947,Irrelevant
Q53,Q53_R44,0.923,71,0.914,Irrelevant
Q53,Q53_R55,0.96,141,0.923,Irrelevant
Q53,Q53_R59,0.898,208,0.943,Irrelevant
Q54,Q54_R7,0.972,323,0.905,Irrelevant
Q54,Q54_R12,0.958,333,0.92,Relevant
Q54,Q54_R15,0.968,260,0.884,Irrelevant
Q54,Q54_R22,0.972,315,0.912,Irrelevant
Q54,Q54_R23,0.968,334,0.868,Relevant
Q54,Q54_R24,0.961,228,0.932,Irrelevant
Q54,Q54_R25,0.966,271,0.903,Irrelevant
Q54,Q54_R28,0.974,353,0.896,Irrelevant
Q54,Q54_R44,0.946,191,0.928,Irrelevant
Q54,Q54_R46,0.952,211,0.928,Irrelevant
Q55,Q55_R1,0.925,165,0.85,PerfectMatch
Q55,Q55_R4,0.923,24,0.906,Relevant
Q55,Q55_R6,1.0,4,0.868,PerfectMatch
Q55,Q55_R18,0.968,45,0.891,Relevant
Q55,Q55_R20,0.951,114,0.923,Relevant
Q55,Q55_R29,0.939,64,0.91,Relevant
Q55,Q55_R34,0.921,121,0.914,Relevant
Q55,Q55_R51,0.938,277,0.915,Relevant
Q55,Q55_R55,0.944,173,0.923,Relevant
Q55,Q55_R58,0.923,93,0.936,Relevant
Q56,Q56_R4,0.87,30,0.938,Irrelevant
Q56,Q56_R23,0.947,109,0.856,Relevant
Q56,Q56_R25,0.927,98,0.92,Irrelevant
Q56,Q56_R35,0.88,168,0.922,Relevant
Q56,Q56_R39,0.885,183,0.889,Irrelevant
Q56,Q56_R40,0.944,52,0.919,Irrelevant
Q56,Q56_R41,0.861,58,0.945,Irrelevant
Q56,Q56_R55,0.984,120,0.864,Irrelevant
Q56,Q56_R57,0.923,167,0.892,Relevant
Q56,Q56_R64,0.928,116,0.866,Relevant
Q57,Q57_R7,0.926,121,0.92,Irrelevant
Q57,Q57_R40,0.93,261,0.906,Irrelevant
Q57,Q57_R53,0.984,256,0.872,Irrelevant
Q57,Q57_R62,0.863,50,0.959,PerfectMatch
Q57,Q57_R65,0.912,174,0.872,Irrelevant
Q57,Q57_R70,0.853,101,0.944,Irrelevant
Q57,Q57_R71,0.878,74,0.944,Irrelevant
Q57,Q57_R73,1.0,290,0.68,Irrelevant
Q57,Q57_R75,0.915,164,0.936,Irrelevant
Q57,Q57_R76,0.889,8,0.953,Irrelevant
Q58,Q58_R7,0.935,273,0.932,Relevant
Q58,Q58_R13,0.947,255,0.949,Relevant
Q58,Q58_R19,0.953,315,0.939,Irrelevant
Q58,Q58_R30,0.956,247,0.876,Relevant
Q58,Q58_R37,0.949,266,0.928,Irrelevant
Q58,Q58_R46,0.949,278,0.935,Relevant
Q58,Q58_R47,0.921,313,0.935,Relevant
Q58,Q58_R56,0.952,309,0.941,Irrelevant
Q58,Q58_R57,0.919,163,0.943,Relevant
Q58,Q58_R64,0.932,126,0.951,Relevant
Q59,Q59_R2,0.951,81,0.924,PerfectMatch
Q59,Q59_R10,1.0,54,0.899,PerfectMatch
Q59,Q59_R15,0.939,143,0.903,PerfectMatch
Q59,Q59_R16,0.962,25,0.855,Relevant
Q59,Q59_R17,0.974,42,0.909,Relevant
Q59,Q59_R25,1.0,33,0.832,Relevant
Q59,Q59_R26,0.944,34,0.905,Relevant
Q59,Q59_R28,0.902,322,0.929,Irrelevant
Q59,Q59_R32,0.966,204,0.918,Irrelevant
Q59,Q59_R33,0.941,151,0.9,Relevant
Q60,Q60_R8,0.843,76,0.952,Irrelevant
Q60,Q60_R11,0.859,69,0.947,Relevant
Q60,Q60_R21,0.812,88,0.966,Relevant
Q60,Q60_R25,0.905,123,0.948,Relevant
Q60,Q60_R26,0.857,38,0.943,Irrelevant
Q60,Q60_R27,0.901,115,0.941,Irrelevant
Q60,Q60_R31,0.86,23,0.956,Irrelevant
Q60,Q60_R33,0.935,31,0.93,Irrelevant
Q60,Q60_R41,0.886,178,0.955,Irrelevant
Q60,Q60_R42,0.828,119,0.949,Irrelevant
Q61,Q61_R2,0.877,110,0.965,Irrelevant
Q61,Q61_R3,0.936,40,0.881,Relevant
Q61,Q61_R13,0.882,21,0.944,PerfectMatch
Q61,Q61_R17,0.886,42,0.929,Irrelevant
Q61,Q61_R21,0.9,18,0.957,Relevant
Q61,Q61_R25,0.908,129,0.957,Irrelevant
Q61,Q61_R26,0.974,107,0.854,Irrelevant
Q61,Q61_R27,0.875,163,0.968,Irrelevant
Q61,Q61_R29,0.962,18,0.919,Irrelevant
Q61,Q61_R30,0.887,190,0.949,Irrelevant
Q62,Q62_R7,0.891,243,0.941,Irrelevant
Q62,Q62_R8,0.877,164,0.926,Irrelevant
Q62,Q62_R10,0.867,38,0.957,Irrelevant
Q62,Q62_R11,0.921,244,0.919,Irrelevant
Q62,Q62_R13,0.848,210,0.933,Irrelevant
Q62,Q62_R22,0.868,206,0.951,Irrelevant
Q62,Q62_R25,0.905,243,0.937,Irrelevant
Q62,Q62_R27,0.91,219,0.926,Irrelevant
Q62,Q62_R31,0.915,198,0.947,Relevant
Q62,Q62_R37,0.869,28,0.958,Irrelevant
Q63,Q63_R3,0.928,221,0.931,Relevant
Q63,Q63_R5,0.943,256,0.937,Irrelevant
Q63,Q63_R8,0.925,311,0.935,Irrelevant
Q63,Q63_R11,0.909,243,0.936,Irrelevant
Q63,Q63_R13,0.871,135,0.936,Irrelevant
Q63,Q63_R20,0.873,55,0.944,Irrelevant
Q63,Q63_R22,0.9,88,0.94,Irrelevant
Q63,Q63_R24,0.947,249,0.945,Irrelevant
Q63,Q63_R25,0.891,8,0.932,Irrelevant
Q63,Q63_R26,0.907,25,0.917,Irrelevant
Q64,Q64_R10,0.952,241,0.892,Irrelevant
Q64,Q64_R11,0.87,92,0.947,Irrelevant
Q64,Q64_R27,0.825,116,0.963,Irrelevant
Q64,Q64_R29,0.899,61,0.947,Irrelevant
Q64,Q64_R39,0.893,171,0.943,Irrelevant
Q64,Q64_R61,0.921,11,0.927,Irrelevant
Q64,Q64_R76,0.919,129,0.876,Irrelevant
Q64,Q64_R84,0.895,81,0.927,Irrelevant
Q64,Q64_R85,0.871,73,0.962,Irrelevant
Q64,Q64_R89,0.946,53,0.903,Irrelevant
Q65,Q65_R13,1.0,209,0.858,Irrelevant
Q65,Q65_R14,1.0,180,0.835,Irrelevant
Q65,Q65_R17,1.0,116,0.841,Irrelevant
Q65,Q65_R21,0.972,399,0.873,Irrelevant
Q65,Q65_R28,0.968,342,0.834,Relevant
Q65,Q65_R36,1.0,197,0.851,Irrelevant
Q65,Q65_R47,1.0,183,0.869,Irrelevant
Q65,Q65_R55,0.986,333,0.884,Irrelevant
Q65,Q65_R62,0.981,290,0.854,Irrelevant
Q65,Q65_R68,0.982,248,0.85,Irrelevant
Q66,Q66_R3,0.829,1,0.951,PerfectMatch
Q66,Q66_R4,0.873,50,0.948,Relevant
Q66,Q66_R8,0.904,55,0.952,PerfectMatch
Q66,Q66_R10,0.932,100,0.947,Relevant
Q66,Q66_R11,0.894,126,0.971,Relevant
Q66,Q66_R18,0.765,133,0.945,Relevant
Q66,Q66_R19,0.964,143,0.968,PerfectMatch
Q66,Q66_R35,0.873,82,0.958,Irrelevant
Q66,Q66_R46,0.879,103,0.925,Relevant
Q66,Q66_R64,0.93,115,0.933,Irrelevant
Q67,Q67_R1,0.95,23,0.835,PerfectMatch
Q67,Q67_R3,0.87,6,0.86,PerfectMatch
Q67,Q67_R18,0.906,285,0.9,Irrelevant
Q67,Q67_R20,0.923,12,0.879,Irrelevant
Q67,Q67_R26,0.943,72,0.833,Irrelevant
Q67,Q67_R27,0.895,28,0.803,PerfectMatch
Q67,Q67_R31,0.909,20,0.844,PerfectMatch
Q67,Q67_R36,0.973,63,0.878,PerfectMatch
Q67,Q67_R40,0.887,289,0.927,Relevant
Q67,Q67_R44,0.933,259,0.92,Irrelevant
Q68,Q68_R22,0.946,109,0.808,Irrelevant
Q68,Q68_R24,0.852,74,0.94,Irrelevant
Q68,Q68_R29,0.867,192,0.949,Irrelevant
Q68,Q68_R44,0.912,56,0.946,Irrelevant
Q68,Q68_R54,0.871,77,0.927,Irrelevant
Q68,Q68_R59,0.866,43,0.946,Relevant
Q68,Q68_R62,0.925,106,0.927,Irrelevant
Q68,Q68_R65,0.97,130,0.901,Irrelevant
Q68,Q68_R66,0.861,22,0.96,Irrelevant
Q68,Q68_R72,0.953,132,0.905,Irrelevant
Q69,Q69_R2,0.833,209,0.958,Relevant
Q69,Q69_R3,0.7,38,0.916,PerfectMatch
Q69,Q69_R7,0.9,217,0.895,Relevant
Q69,Q69_R9,0.949,59,0.94,Irrelevant
Q69,Q69_R16,1.0,80,0.0,Relevant
Q69,Q69_R19,0.915,361,0.957,Relevant
Q69,Q69_R22,0.897,238,0.946,Relevant
Q69,Q69_R23,0.814,114,0.955,Relevant
Q69,Q69_R25,0.915,242,0.914,Relevant
Q69,Q69_R26,0.879,180,0.951,Relevant
Q70,Q70_R5,0.906,39,0.958,PerfectMatch
Q70,Q70_R17,0.937,176,0.915,Irrelevant
Q70,Q70_R29,0.945,149,0.821,Irrelevant
Q70,Q70_R30,0.932,100,0.917,Irrelevant
Q70,Q70_R35,0.905,130,0.902,Irrelevant
Q70,Q70_R36,0.889,7,0.943,Irrelevant
Q70,Q70_R37,0.909,154,0.928,Irrelevant
Q70,Q70_R38,0.945,163,0.95,Irrelevant
Q70,Q70_R42,0.922,115,0.959,Irrelevant
Q70,Q70_R43,0.931,108,0.955,Irrelevant
Q71,Q71_R1,0.021,1,1.0,PerfectMatch
Q71,Q71_R8,0.897,125,0.896,Irrelevant
Q71,Q71_R16,0.912,90,0.889,Irrelevant
Q71,Q71_R18,0.92,218,0.886,Irrelevant
Q71,Q71_R20,0.961,88,0.888,Irrelevant
Q71,Q71_R42,0.926,84,0.86,Irrelevant
Q71,Q71_R44,0.901,149,0.916,Irrelevant
Q71,Q71_R45,0.942,94,0.876,Irrelevant
Q71,Q71_R47,0.91,38,0.896,Irrelevant
Q71,Q71_R54,0.86,178,0.901,Irrelevant
Q72,Q72_R1,0.944,27,0.931,PerfectMatch
Q72,Q72_R21,0.926,36,0.882,Relevant
Q72,Q72_R23,0.909,109,0.918,PerfectMatch
Q72,Q72_R24,0.919,204,0.916,Relevant
Q72,Q72_R28,0.905,263,0.903,Irrelevant
Q72,Q72_R37,0.934,307,0.927,Relevant
Q72,Q72_R39,0.926,41,0.916,Relevant
Q72,Q72_R42,0.961,298,0.904,Irrelevant
Q72,Q72_R71,0.97,14,0.883,Irrelevant
Q72,Q72_R78,0.917,205,0.906,Relevant
Q73,Q73_R2,0.88,200,0.96,PerfectMatch
Q73,Q73_R3,0.909,264,0.954,PerfectMatch
Q73,Q73_R6,0.753,63,0.98,PerfectMatch
Q73,Q73_R20,0.917,66,0.95,Irrelevant
Q73,Q73_R33,0.837,47,0.963,Relevant
Q73,Q73_R41,0.879,56,0.966,Relevant
Q73,Q73_R52,0.985,371,0.578,Relevant
Q73,Q73_R63,1.0,415,0.0,Relevant
Q73,Q73_R66,0.944,314,0.938,Relevant
Q73,Q73_R67,0.946,316,0.943,Irrelevant
Q74,Q74_R6,0.828,13,0.906,PerfectMatch
Q74,Q74_R7,0.909,146,0.949,Relevant
Q74,Q74_R11,0.848,90,0.948,Relevant
Q74,Q74_R27,1.0,92,0.0,Irrelevant
Q74,Q74_R37,0.9,19,0.94,Relevant
Q74,Q74_R42,0.885,187,0.938,Irrelevant
Q74,Q74_R57,0.851,243,0.942,Irrelevant
Q74,Q74_R63,0.946,146,0.918,Irrelevant
Q74,Q74_R77,0.961,145,0.913,Irrelevant
Q74,Q74_R78,0.914,217,0.921,Irrelevant
Q75,Q75_R8,0.889,4,0.958,Relevant
Q75,Q75_R15,0.937,87,0.945,Relevant
Q75,Q75_R24,0.97,122,0.811,Irrelevant
Q75,Q75_R25,0.938,80,0.954,Irrelevant
Q75,Q75_R26,0.959,282,0.901,Relevant
Q75,Q75_R36,0.943,28,0.953,Irrelevant
Q75,Q75_R41,0.898,79,0.959,Irrelevant
Q75,Q75_R42,0.897,114,0.963,Irrelevant
Q75,Q75_R52,0.968,205,0.854,Irrelevant
Q75,Q75_R55,0.924,32,0.915,Relevant
Q76,Q76_R9,0.932,255,0.892,Irrelevant
Q76,Q76_R11,0.889,98,0.884,Irrelevant
Q76,Q76_R13,0.96,283,0.832,Irrelevant
Q76,Q76_R26,0.957,196,0.878,Irrelevant
Q76,Q76_R37,0.986,367,0.837,Irrelevant
Q76,Q76_R38,0.961,244,0.875,Irrelevant
Q76,Q76_R41,1.0,25,0.0,Relevant
Q76,Q76_R53,0.824,44,0.894,Relevant
Q76,Q76_R58,0.957,277,0.843,Relevant
Q76,Q76_R62,0.925,250,0.907,Irrelevant
Q77,Q77_R4,0.831,144,0.961,Relevant
Q77,Q77_R5,0.859,216,0.968,Relevant
Q77,Q77_R7,0.915,188,0.965,Irrelevant
Q77,Q77_R9,0.838,179,0.964,Irrelevant
Q77,Q77_R16,0.936,162,0.926,Irrelevant
Q77,Q77_R20,0.936,151,0.911,Irrelevant
Q77,Q77_R23,1.0,171,0.763,Irrelevant
Q77,Q77_R24,0.924,45,0.945,Irrelevant
Q77,Q77_R29,0.878,47,0.932,Relevant
Q77,Q77_R30,1.0,214,0.0,Irrelevant
Q78,Q78_R2,0.972,207,0.609,PerfectMatch
Q78,Q78_R3,0.974,201,0.645,PerfectMatch
Q78,Q78_R6,0.974,220,0.559,Relevant
Q78,Q78_R7,0.983,297,0.598,PerfectMatch
Q78,Q78_R12,0.969,147,0.699,Relevant
Q78,Q78_R14,0.929,58,0.689,Relevant
Q78,Q78_R15,0.98,379,0.695,Relevant
Q78,Q78_R16,0.981,260,0.632,Irrelevant
Q78,Q78_R17,0.981,290,0.574,Relevant
Q78,Q78_R19,0.981,287,0.598,Relevant
Q79,Q79_R2,0.872,163,0.911,Relevant
Q79,Q79_R6,0.863,250,0.93,Irrelevant
Q79,Q79_R7,0.862,85,0.902,Relevant
Q79,Q79_R12,0.851,108,0.943,Relevant
Q79,Q79_R13,0.814,86,0.919,Relevant
Q79,Q79_R15,1.0,152,0.0,PerfectMatch
Q79,Q79_R24,0.889,27,0.935,PerfectMatch
Q79,Q79_R29,0.917,183,0.923,Relevant
Q79,Q79_R32,0.875,131,0.959,PerfectMatch
Q79,Q79_R35,0.915,41,0.901,Irrelevant
Q80,Q80_R11,0.793,30,0.966,Relevant
Q80,Q80_R17,0.912,24,0.94,Relevant
Q80,Q80_R23,0.918,158,0.949,Irrelevant
Q80,Q80_R35,0.896,177,0.954,Relevant
Q80,Q80_R39,0.824,162,0.97,Irrelevant
Q80,Q80_R45,0.885,141,0.951,Irrelevant
Q80,Q80_R53,0.912,247,0.937,Irrelevant
Q80,Q80_R61,0.882,98,0.934,Irrelevant
Q80,Q80_R63,0.931,131,0.927,Irrelevant
Q80,Q80_R79,0.966,2,0.92,Irrelevant
Q81,Q81_R4,0.87,168,0.956,Relevant
Q81,Q81_R7,0.802,68,0.974,Irrelevant
Q81,Q81_R15,0.888,59,0.946,Relevant
Q81,Q81_R19,0.899,19,0.972,Relevant
Q81,Q81_R21,0.884,68,0.962,Irrelevant
Q81,Q81_R25,0.926,85,0.935,Relevant
Q81,Q81_R29,0.817,3,0.963,PerfectMatch
Q81,Q81_R34,0.769,53,0.977,Relevant
Q81,Q81_R38,0.87,127,0.931,PerfectMatch
Q81,Q81_R39,0.819,9,0.949,Irrelevant
Q82,Q82_R3,0.946,170,0.912,Irrelevant
Q82,Q82_R5,1.0,110,0.0,Relevant
Q82,Q82_R9,0.892,24,0.9,Irrelevant
Q82,Q82_R12,0.975,23,0.855,Irrelevant
Q82,Q82_R17,0.974,8,0.845,Irrelevant
Q82,Q82_R19,0.959,238,0.887,Irrelevant
Q82,Q82_R23,0.955,20,0.911,Irrelevant
Q82,Q82_R24,0.959,240,0.895,Irrelevant
Q82,Q82_R26,0.921,24,0.861,Irrelevant
Q82,Q82_R32,0.974,23,0.86,Irrelevant
Q83,Q83_R12,1.0,163,0.0,Relevant
Q83,Q83_R14,0.954,47,0.914,Relevant
Q83,Q83_R16,0.903,126,0.908,Relevant
Q83,Q83_R31,0.889,5,0.953,Irrelevant
Q83,Q83_R34,0.89,97,0.941,Irrelevant
Q83,Q83_R46,0.905,192,0.944,Irrelevant
Q83,Q83_R57,0.935,7,0.918,Relevant
Q83,Q83_R58,0.9,260,0.945,Irrelevant
Q83,Q83_R59,0.892,257,0.924,Irrelevant
Q83,Q83_R65,0.928,204,0.899,Irrelevant
Q84,Q84_R2,1.0,325,0.0,Relevant
Q84,Q84_R3,0.899,61,0.962,Relevant
Q84,Q84_R17,0.861,222,0.925,Relevant
Q84,Q84_R18,0.926,241,0.949,Irrelevant
Q84,Q84_R20,0.804,56,0.964,Relevant
Q84,Q84_R28,0.875,51,0.965,Irrelevant
Q84,Q84_R36,0.914,106,0.948,Irrelevant
Q84,Q84_R61,0.892,138,0.954,Irrelevant
Q84,Q84_R65,0.931,233,0.921,Irrelevant
Q84,Q84_R76,0.956,263,0.909,Irrelevant
Q85,Q85_R8,0.818,67,0.957,Irrelevant
Q85,Q85_R18,0.898,165,0.954,Irrelevant
Q85,Q85_R37,0.842,105,0.956,Irrelevant
Q85,Q85_R45,0.926,44,0.966,Irrelevant
Q85,Q85_R50,0.812,132,0.967,Relevant
Q85,Q85_R54,0.893,53,0.971,Relevant
Q85,Q85_R58,0.921,110,0.945,Irrelevant
Q85,Q85_R65,0.871,162,0.942,Irrelevant
Q85,Q85_R83,0.952,43,0.911,Irrelevant
Q85,Q85_R84,0.912,14,0.951,Irrelevant
Q86,Q86_R17,0.877,179,0.947,Relevant
Q86,Q86_R27,0.887,78,0.955,PerfectMatch
Q86,Q86_R45,0.893,226,0.959,Irrelevant
Q86,Q86_R52,0.847,95,0.949,Irrelevant
Q86,Q86_R63,0.909,127,0.946,Irrelevant
Q86,Q86_R64,0.836,156,0.951,Relevant
Q86,Q86_R67,0.902,95,0.945,Irrelevant
Q86,Q86_R70,0.902,63,0.921,Irrelevant
Q86,Q86_R81,0.91,317,0.963,Irrelevant
Q86,Q86_R85,0.892,106,0.948,Irrelevant
Q87,Q87_R18,0.862,208,0.951,Relevant
Q87,Q87_R22,0.831,143,0.96,PerfectMatch
Q87,Q87_R26,0.82,11,0.954,Relevant
Q87,Q87_R32,0.968,180,0.955,Irrelevant
Q87,Q87_R35,0.89,65,0.933,Irrelevant
Q87,Q87_R37,0.877,60,0.942,Irrelevant
Q87,Q87_R42,0.892,132,0.938,Irrelevant
Q87,Q87_R56,0.842,140,0.934,Irrelevant
Q87,Q87_R61,0.877,199,0.941,Irrelevant
Q87,Q87_R68,0.844,6,0.956,Relevant
Q88,Q88_R20,0.951,302,0.861,Irrelevant
Q88,Q88_R27,0.952,324,0.85,Irrelevant
Q88,Q88_R32,0.949,182,0.846,Irrelevant
Q88,Q88_R41,0.973,397,0.825,Irrelevant
Q88,Q88_R44,0.964,266,0.831,Irrelevant
Q88,Q88_R49,0.939,202,0.838,Irrelevant
Q88,Q88_R57,0.943,284,0.851,Irrelevant
Q88,Q88_R58,0.971,320,0.848,Irrelevant
Q88,Q88_R59,0.954,386,0.841,Irrelevant
Q88,Q88_R62,0.929,161,0.851,Irrelevant
Q89,Q89_R6,0.939,378,0.928,Relevant
Q89,Q89_R11,0.902,346,0.956,Irrelevant
Q89,Q89_R13,0.956,386,0.946,Irrelevant
Q89,Q89_R14,0.96,285,0.931,Relevant
Q89,Q89_R19,0.952,75,0.891,Irrelevant
Q89,Q89_R23,0.968,124,0.913,Irrelevant
Q89,Q89_R27,0.971,108,0.879,Relevant
Q89,Q89_R35,0.935,196,0.946,Irrelevant
Q89,Q89_R38,0.957,65,0.915,Irrelevant
Q89,Q89_R39,0.924,414,0.925,Relevant
Q90,Q90_R8,0.852,71,0.958,PerfectMatch
Q90,Q90_R16,0.82,10,0.971,Relevant
Q90,Q90_R19,0.806,43,0.968,PerfectMatch
Q90,Q90_R20,0.873,111,0.964,Relevant
Q90,Q90_R29,0.842,92,0.954,Irrelevant
Q90,Q90_R37,0.828,29,0.941,Relevant
Q90,Q90_R65,0.859,40,0.951,Irrelevant
Q90,Q90_R67,0.926,176,0.919,Irrelevant
Q90,Q90_R68,0.826,156,0.954,Relevant
Q90,Q90_R71,0.896,177,0.94,Irrelevant
Q91,Q91_R6,0.872,116,0.958,Irrelevant
Q91,Q91_R9,0.826,69,0.927,Irrelevant
Q91,Q91_R10,0.814,71,0.96,Irrelevant
Q91,Q91_R12,1.0,214,0.0,Irrelevant
Q91,Q91_R13,0.838,77,0.953,Irrelevant
Q91,Q91_R26,0.886,156,0.951,Irrelevant
Q91,Q91_R29,0.871,155,0.938,Irrelevant
Q91,Q91_R37,0.859,171,0.962,Irrelevant
Q91,Q91_R41,0.873,18,0.944,Irrelevant
Q91,Q91_R42,0.95,68,0.921,Irrelevant
Q92,Q92_R11,0.968,103,0.881,Irrelevant
Q92,Q92_R15,0.962,264,0.862,Irrelevant
Q92,Q92_R18,0.959,226,0.881,Irrelevant
Q92,Q92_R23,0.978,171,0.828,Irrelevant
Q92,Q92_R30,0.952,384,0.876,Irrelevant
Q92,Q92_R31,0.931,86,0.843,Irrelevant
Q92,Q92_R32,0.966,350,0.894,Irrelevant
Q92,Q92_R37,0.962,240,0.855,Irrelevant
Q92,Q92_R43,0.969,353,0.86,Irrelevant
Q92,Q92_R48,0.955,91,0.816,Irrelevant
Q93,Q93_R13,0.915,81,0.885,Irrelevant
Q93,Q93_R16,0.857,230,0.958,Irrelevant
Q93,Q93_R24,0.96,89,0.939,Irrelevant
Q93,Q93_R34,0.921,190,0.926,Irrelevant
Q93,Q93_R35,0.94,215,0.951,Irrelevant
Q93,Q93_R46,0.952,250,0.929,Irrelevant
Q93,Q93_R47,0.95,120,0.838,Irrelevant
Q93,Q93_R48,0.923,30,0.936,Irrelevant
Q93,Q93_R51,0.927,278,0.942,Irrelevant
Q93,Q93_R53,0.947,5,0.848,Irrelevant
Q94,Q94_R18,1.0,223,0.0,Irrelevant
Q94,Q94_R30,0.838,62,0.96,Irrelevant
Q94,Q94_R38,0.9,63,0.948,Irrelevant
Q94,Q94_R47,0.909,206,0.916,Relevant
Q94,Q94_R60,0.886,106,0.968,Irrelevant
Q94,Q94_R74,0.813,68,0.959,Irrelevant
Q94,Q94_R81,0.827,55,0.974,Irrelevant
Q94,Q94_R84,0.918,67,0.959,Irrelevant
Q94,Q94_R88,0.879,19,0.919,Irrelevant
Q94,Q94_R95,0.905,19,0.941,Irrelevant
Q95,Q95_R9,0.892,101,0.956,Relevant
Q95,Q95_R16,0.861,48,0.956,Irrelevant
Q95,Q95_R21,0.883,35,0.948,Irrelevant
Q95,Q95_R41,0.876,69,0.953,Irrelevant
Q95,Q95_R68,0.814,76,0.965,Irrelevant
Q95,Q95_R69,0.893,7,0.945,Irrelevant
Q95,Q95_R70,0.908,71,0.955,Irrelevant
Q95,Q95_R75,0.854,53,0.94,Irrelevant
Q95,Q95_R78,0.887,115,0.945,Relevant
Q95,Q95_R82,0.891,69,0.919,Irrelevant
Q96,Q96_R4,0.848,34,0.964,Relevant
Q96,Q96_R9,0.921,3,0.931,Irrelevant
Q96,Q96_R12,0.885,74,0.955,Irrelevant
Q96,Q96_R14,0.899,23,0.943,Irrelevant
Q96,Q96_R19,0.898,146,0.961,Irrelevant
Q96,Q96_R21,0.871,102,0.945,Irrelevant
Q96,Q96_R24,0.862,133,0.959,Relevant
Q96,Q96_R40,0.931,99,0.942,Irrelevant
Q96,Q96_R43,0.901,61,0.955,Relevant
Q96,Q96_R45,0.898,216,0.951,Irrelevant
Q97,Q97_R3,0.867,131,0.943,Relevant
Q97,Q97_R9,0.839,113,0.969,Relevant
Q97,Q97_R12,0.882,12,0.957,Relevant
Q97,Q97_R13,0.9,224,0.969,Relevant
Q97,Q97_R15,0.891,110,0.938,Irrelevant
Q97,Q97_R17,0.913,122,0.968,Relevant
Q97,Q97_R19,0.904,208,0.959,Relevant
Q97,Q97_R23,0.863,159,0.972,PerfectMatch
Q97,Q97_R24,0.893,174,0.938,Relevant
Q97,Q97_R27,0.843,166,0.967,Irrelevant
Q98,Q98_R2,0.944,146,0.927,Relevant
Q98,Q98_R8,0.909,37,0.959,Irrelevant
Q98,Q98_R18,0.91,104,0.96,Irrelevant
Q98,Q98_R27,0.931,34,0.955,Irrelevant
Q98,Q98_R35,0.912,248,0.967,Relevant
Q98,Q98_R39,0.937,166,0.944,Relevant
Q98,Q98_R40,0.938,57,0.915,Irrelevant
Q98,Q98_R43,0.956,216,0.937,Relevant
Q98,Q98_R53,0.939,170,0.927,Irrelevant
Q98,Q98_R57,0.933,154,0.952,Irrelevant
Q99,Q99_R18,0.847,58,0.944,Irrelevant
Q99,Q99_R27,0.893,103,0.959,Irrelevant
Q99,Q99_R30,0.884,133,0.946,Irrelevant
Q99,Q99_R41,0.911,230,0.927,Irrelevant
Q99,Q99_R52,0.946,29,0.941,Relevant
Q99,Q99_R60,0.852,238,0.963,Relevant
Q99,Q99_R66,0.9,170,0.944,Relevant
Q99,Q99_R72,0.903,199,0.944,Relevant
Q99,Q99_R92,0.872,176,0.948,Irrelevant
Q99,Q99_R95,0.913,119,0.955,Relevant
Q100,Q100_R4,0.851,35,0.36,PerfectMatch
Q100,Q100_R7,0.805,164,0.964,Relevant
Q100,Q100_R9,0.827,121,0.969,PerfectMatch
Q100,Q100_R37,0.863,46,0.942,Relevant
Q100,Q100_R39,0.797,36,0.959,Relevant
Q100,Q100_R42,0.833,30,0.961,Relevant
Q100,Q100_R46,0.842,33,0.958,Relevant
Q100,Q100_R50,0.906,26,0.955,Irrelevant
Q100,Q100_R57,0.912,227,0.97,Relevant
Q100,Q100_R71,0.869,180,0.959,Relevant
Q101,Q101_R3,0.87,214,0.955,Irrelevant
Q101,Q101_R15,0.845,125,0.955,Irrelevant
Q101,Q101_R22,0.894,48,0.879,Irrelevant
Q101,Q101_R25,0.878,203,0.949,Relevant
Q101,Q101_R39,0.909,122,0.918,Irrelevant
Q101,Q101_R44,0.882,163,0.943,Irrelevant
Q101,Q101_R45,0.882,153,0.953,Irrelevant
Q101,Q101_R46,0.854,188,0.961,Irrelevant
Q101,Q101_R48,0.9,117,0.93,Irrelevant
Q101,Q101_R59,0.871,49,0.962,Irrelevant
Q102,Q102_R9,0.783,63,0.953,PerfectMatch
Q102,Q102_R12,0.926,170,0.926,Irrelevant
Q102,Q102_R13,0.825,29,0.879,Irrelevant
Q102,Q102_R17,0.899,171,0.951,Irrelevant
