question1_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
,Q279_R33_C2,1.000,54,0.736,1.000,0.049,0
,Q279_R33_C3,1.000,31,0.780,1.000,-0.038,0
,Q279_R33_C4,0.939,8,0.855,1.000,0.010,0
,Q279_R33_C5,1.000,8,0.890,1.000,0.269,0
,Q279_R33_C6,0.950,33,0.819,1.000,0.304,0
,Q279_R33_C7,0.961,312,0.894,1.000,0.018,0
,Q279_R33_C8,1.000,44,0.865,1.000,0.039,0
,Q279_R33_C9,0.950,56,0.825,1.000,0.322,0
,Q279_R33_C10,0.981,137,0.915,1.000,0.309,0
,Q279_R36_C1,0.957,29,0.825,1.000,0.253,0
,Q279_R36_C2,0.951,59,0.889,1.000,0.046,0
,Q279_R36_C3,0.977,94,0.883,1.000,0.160,0
,Q279_R36_C4,0.929,25,0.886,1.000,0.338,0
,Q279_R36_C5,1.000,53,0.000,1.000,-0.106,0
,Q279_R36_C6,1.000,67,0.604,1.000,0.045,0
,Q279_R36_C7,0.929,78,0.883,1.000,0.210,0
,Q279_R36_C8,0.950,266,0.874,1.000,-0.095,0
,Q279_R36_C9,0.946,37,0.914,1.000,0.213,0
,Q279_R36_C10,0.939,99,0.875,1.000,0.031,0
,Q280_R5_C1,0.889,41,0.926,1.000,0.357,1
,Q280_R5_C2,0.857,17,0.939,0.984,0.389,1
,Q280_R5_C3,0.895,108,0.917,1.000,0.200,0
,Q280_R5_C4,0.952,82,0.894,1.000,0.127,1
,Q280_R5_C5,0.943,130,0.902,1.000,0.311,0
,Q280_R5_C6,0.967,12,0.905,1.000,0.088,1
,Q280_R5_C7,0.952,71,0.900,1.000,0.256,0
,Q280_R5_C8,0.852,59,0.940,0.986,0.195,1
,Q280_R5_C9,0.886,117,0.901,0.949,0.361,1
,Q280_R5_C10,0.820,10,0.940,0.968,0.461,0
,Q280_R11_C1,0.962,16,0.360,1.000,0.011,1
,Q280_R11_C2,0.951,104,0.900,1.000,0.220,1
,Q280_R11_C3,0.924,331,0.843,0.992,0.188,1
,Q280_R11_C4,0.944,620,0.933,1.000,0.053,0
,Q280_R11_C5,0.946,117,0.870,1.000,0.157,0
,Q280_R11_C6,0.927,361,0.932,1.000,0.268,0
,Q280_R11_C7,1.000,153,0.000,1.000,0.033,0
,Q280_R11_C8,0.930,21,0.926,1.000,0.223,1
,Q280_R11_C9,0.915,118,0.525,1.000,0.081,1
,Q280_R11_C10,0.940,1,0.596,1.000,0.286,0
,Q280_R19_C1,0.955,67,0.899,1.000,0.235,1
,Q280_R19_C2,0.946,109,0.830,1.000,0.109,1
,Q280_R19_C3,0.951,80,0.820,1.000,-0.175,1
,Q280_R19_C4,0.933,55,0.905,1.000,0.198,0
,Q280_R19_C5,0.949,99,0.861,1.000,0.182,0
,Q280_R19_C6,0.976,97,0.815,1.000,0.139,0
,Q280_R19_C7,0.946,13,0.931,1.000,0.412,0
,Q280_R19_C8,0.887,26,0.951,1.000,0.459,0
,Q280_R19_C9,1.000,144,0.796,1.000,0.379,1
,Q280_R19_C10,0.981,1,0.930,1.000,0.310,0
,Q280_R21_C1,0.913,53,0.901,1.000,0.038,0
,Q280_R21_C2,0.933,67,0.885,1.000,0.100,0
,Q280_R21_C3,0.918,30,0.923,1.000,0.333,0
,Q280_R21_C4,0.886,211,0.905,0.991,0.080,0
,Q280_R21_C5,0.958,76,0.890,1.000,0.119,0
,Q280_R21_C6,0.925,98,0.915,1.000,0.344,0
,Q280_R21_C7,0.943,117,0.884,1.000,0.164,0
,Q280_R21_C8,0.925,62,0.907,1.000,0.113,0
,Q280_R21_C9,0.932,77,0.907,1.000,0.114,0
,Q280_R21_C10,0.906,760,0.952,1.000,0.359,0
,Q280_R39_C1,0.913,51,0.857,0.981,0.135,0
,Q280_R39_C2,0.961,42,0.873,1.000,-0.031,0
,Q280_R39_C3,0.850,67,0.900,0.979,0.159,0
,Q280_R39_C4,0.962,35,0.832,1.000,0.075,0
,Q280_R39_C5,0.900,13,0.900,1.000,0.216,0
,Q280_R39_C6,0.955,54,0.812,1.000,0.066,0
,Q280_R39_C7,0.946,65,0.897,1.000,0.128,0
,Q280_R39_C8,0.923,8,0.898,1.000,0.159,0
,Q280_R39_C9,0.946,216,0.927,1.000,0.183,0
,Q280_R39_C10,0.913,305,0.902,1.000,0.159,0
,Q280_R41_C1,0.913,166,0.878,0.977,0.049,0
,Q280_R41_C2,0.868,13,0.909,0.985,0.164,0
,Q280_R41_C3,0.929,37,0.901,1.000,-0.011,0
,Q280_R41_C4,0.947,30,0.893,1.000,0.068,0
,Q280_R41_C5,0.944,108,0.852,1.000,0.035,0
,Q280_R41_C6,0.922,840,0.881,0.995,0.041,0
,Q280_R41_C7,0.918,374,0.875,0.985,-0.056,0
,Q280_R41_C8,0.957,543,0.904,1.000,0.144,0
,Q280_R41_C9,0.967,352,0.868,1.000,-0.042,0
,Q280_R41_C10,0.877,39,0.920,1.000,0.200,0
,Q280_R45_C1,0.969,143,0.805,1.000,0.463,0
,Q280_R45_C2,0.944,106,0.805,1.000,0.105,0
,Q280_R45_C3,1.000,143,0.672,1.000,0.098,0
,Q280_R45_C4,0.902,13,0.898,1.000,0.182,0
,Q280_R45_C5,0.979,66,0.859,1.000,-0.167,0
,Q280_R45_C6,0.969,138,0.784,1.000,0.065,0
,Q280_R45_C7,0.978,68,0.887,1.000,0.182,0
,Q280_R45_C8,0.919,16,0.927,1.000,0.382,0
,Q280_R45_C9,0.929,83,0.898,1.000,0.101,0
,Q280_R45_C10,0.909,41,0.923,1.000,0.181,0
,Q280_R46_C1,0.920,38,0.912,1.000,0.133,0
,Q280_R46_C2,0.975,103,0.865,1.000,0.043,0
,Q280_R46_C3,0.903,135,0.844,0.971,0.344,0
,Q280_R46_C4,0.970,95,0.891,1.000,0.183,0
,Q280_R46_C5,0.949,103,0.869,1.000,0.221,0
,Q280_R46_C6,0.966,155,0.601,1.000,0.006,0
,Q280_R46_C7,0.946,279,0.938,0.992,0.271,0
,Q280_R46_C8,0.931,36,0.914,1.000,0.282,0
,Q280_R46_C9,0.924,79,0.925,1.000,0.267,0
,Q280_R46_C10,0.911,37,0.895,1.000,0.203,0
,Q280_R48_C1,1.000,155,0.000,1.000,0.071,0
,Q280_R48_C2,1.000,141,0.766,1.000,0.225,0
,Q280_R48_C3,0.957,54,0.897,1.000,0.181,0
,Q280_R48_C4,0.972,117,0.866,1.000,0.225,0
,Q280_R48_C5,0.936,28,0.878,1.000,0.150,0
,Q280_R48_C6,0.970,148,0.798,1.000,0.063,0
,Q280_R48_C7,0.943,18,0.917,1.000,0.163,0
,Q280_R48_C8,1.000,133,0.796,1.000,0.036,0
,Q280_R48_C9,0.967,25,0.910,1.000,0.104,0
,Q280_R48_C10,0.935,645,0.887,1.000,-0.070,0
,Q280_R67_C1,0.917,566,0.944,0.994,0.261,0
,Q280_R67_C2,1.000,135,0.758,1.000,0.078,0
,Q280_R67_C3,0.936,28,0.896,1.000,0.222,0
,Q280_R67_C4,0.927,421,0.916,1.000,0.100,0
,Q280_R67_C5,0.881,66,0.922,1.000,0.343,0
,Q280_R67_C6,0.881,66,0.922,1.000,0.343,0
,Q280_R67_C7,0.947,103,0.789,1.000,0.015,0
,Q280_R67_C8,1.000,153,0.595,1.000,0.001,0
,Q280_R67_C9,0.895,93,0.925,0.977,0.350,0
,Q280_R67_C10,0.918,38,0.898,1.000,-0.037,0
,Q281_R32_C1,0.945,95,0.937,1.000,0.111,1
,Q281_R32_C2,0.985,77,0.842,1.000,0.014,0
,Q281_R32_C3,0.907,10,0.914,1.000,-0.005,1
,Q281_R32_C4,0.940,72,0.888,1.000,0.142,0
,Q281_R32_C5,0.910,131,0.897,1.000,-0.126,0
,Q281_R32_C6,0.929,115,0.943,1.000,0.391,0
,Q281_R32_C7,0.922,128,0.936,1.000,0.122,0
,Q281_R32_C8,0.981,214,0.757,1.000,-0.170,0
,Q281_R32_C9,0.962,222,0.749,1.000,0.134,1
,Q281_R32_C10,0.896,225,0.940,0.993,-0.124,0
,Q281_R37_C1,0.923,198,0.960,0.993,0.059,0
,Q281_R37_C2,0.894,8,0.966,0.991,0.221,0
,Q281_R37_C3,0.947,84,0.938,1.000,0.136,0
,Q281_R37_C4,0.913,113,0.930,1.000,0.097,0
,Q281_R37_C5,0.922,102,0.950,1.000,0.239,0
,Q281_R37_C6,0.941,712,0.931,0.996,-0.290,0
,Q281_R37_C7,0.923,70,0.958,1.000,0.232,0
,Q281_R37_C8,0.918,638,0.955,0.996,-0.018,0
,Q281_R37_C9,0.939,7,0.939,1.000,0.008,0
,Q281_R37_C10,0.923,726,0.950,0.996,-0.001,0
,Q281_R38_C1,0.877,34,0.941,1.000,0.349,0
,Q281_R38_C2,0.891,148,0.948,1.000,0.338,0
,Q281_R38_C3,0.883,25,0.952,0.979,0.320,0
,Q281_R38_C4,0.877,97,0.916,1.000,0.176,1
,Q281_R38_C5,0.954,125,0.911,1.000,0.044,1
,Q281_R38_C6,0.930,263,0.952,1.000,0.234,0
,Q281_R38_C7,0.959,121,0.941,1.000,0.075,1
,Q281_R38_C8,0.948,189,0.904,1.000,0.201,0
,Q281_R38_C9,0.890,236,0.925,1.000,0.004,1
,Q281_R38_C10,0.920,72,0.952,1.000,0.248,0
,Q281_R40_C1,0.929,82,0.949,1.000,0.311,0
,Q281_R40_C2,0.942,125,0.931,1.000,0.287,0
,Q281_R40_C3,0.935,152,0.792,1.000,-0.007,0
,Q281_R40_C4,0.926,196,0.790,0.968,0.076,0
,Q281_R40_C5,0.923,497,0.952,0.995,0.041,0
,Q281_R40_C6,0.923,266,0.928,1.000,0.245,0
,Q281_R40_C7,0.837,561,0.971,0.970,0.502,0
,Q281_R40_C8,0.922,503,0.930,1.000,-0.051,0
,Q281_R40_C9,0.930,195,0.930,1.000,0.433,0
,Q281_R40_C10,0.987,65,0.914,1.000,0.226,0
,Q281_R45_C1,0.883,30,0.938,1.000,0.233,0
,Q281_R45_C2,0.966,196,0.785,1.000,0.029,0
,Q281_R45_C3,0.872,99,0.950,1.000,0.256,0
,Q281_R45_C4,0.905,241,0.948,0.993,0.268,0
,Q281_R45_C5,0.898,232,0.959,0.993,0.310,0
,Q281_R45_C6,0.902,519,0.949,1.000,-0.011,0
,Q281_R45_C7,0.901,93,0.951,0.992,0.141,0
,Q281_R45_C8,0.889,25,0.928,1.000,0.242,0
,Q281_R45_C9,0.942,224,0.847,1.000,0.088,0
,Q281_R45_C10,0.948,191,0.919,1.000,0.277,0
,Q281_R49_C1,0.980,245,0.719,1.000,0.064,0
,Q281_R49_C2,0.941,223,0.835,1.000,0.231,0
,Q281_R49_C3,0.911,13,0.901,1.000,0.167,0
,Q281_R49_C4,1.000,234,0.856,1.000,0.150,0
,Q281_R49_C5,0.925,130,0.910,1.000,0.242,0
,Q281_R49_C6,0.983,170,0.896,1.000,0.071,0
,Q281_R49_C7,0.984,180,0.841,1.000,0.023,0
,Q281_R49_C8,0.982,204,0.715,1.000,-0.134,0
,Q281_R49_C9,0.938,152,0.902,1.000,0.089,0
,Q281_R49_C10,1.000,257,0.755,1.000,0.018,0
,Q281_R56_C1,0.979,262,0.726,1.000,0.117,0
,Q281_R56_C2,0.951,175,0.895,1.000,0.048,0
,Q281_R56_C3,0.979,256,0.543,1.000,0.140,0
,Q281_R56_C4,0.979,241,0.598,1.000,-0.073,0
,Q281_R56_C5,0.889,9,0.930,1.000,0.044,0
,Q281_R56_C6,0.923,60,0.953,0.989,0.290,0
,Q281_R56_C7,0.951,164,0.871,1.000,0.148,0
,Q281_R56_C8,0.912,35,0.947,1.000,0.183,0
,Q281_R56_C9,0.931,108,0.946,1.000,0.234,0
,Q281_R56_C10,0.922,86,0.955,1.000,0.435,0
,Q281_R58_C1,0.946,91,0.944,1.000,0.234,0
,Q281_R58_C2,0.901,69,0.911,1.000,0.215,0
,Q281_R58_C3,0.920,70,0.907,0.989,0.140,0
,Q281_R58_C4,0.981,241,0.749,1.000,-0.040,0
,Q281_R58_C5,0.971,111,0.894,1.000,-0.134,0
,Q281_R58_C6,0.949,203,0.947,1.000,-0.065,0
,Q281_R58_C7,0.929,248,0.957,1.000,0.167,0
,Q281_R58_C8,0.926,459,0.947,1.000,0.127,0
,Q281_R58_C9,0.893,178,0.937,0.992,0.056,0
,Q281_R58_C10,0.931,432,0.925,0.995,-0.072,0
,Q281_R59_C1,0.955,160,0.934,1.000,0.112,0
,Q281_R59_C2,0.983,177,0.905,1.000,0.048,0
,Q281_R59_C3,0.955,144,0.862,1.000,0.218,0
,Q281_R59_C4,0.949,67,0.910,1.000,0.053,0
,Q281_R59_C5,0.928,313,0.938,1.000,0.175,0
,Q281_R59_C6,0.952,150,0.907,1.000,0.096,0
,Q281_R59_C7,0.932,75,0.910,1.000,0.253,0
,Q281_R59_C8,0.943,212,0.934,1.000,0.400,0
,Q281_R59_C9,0.899,349,0.926,0.994,0.148,0
,Q281_R59_C10,0.931,184,0.914,0.984,0.198,0
,Q281_R61_C1,0.912,744,0.960,0.996,0.208,0
,Q281_R61_C2,1.000,229,0.000,1.000,0.113,0
,Q281_R61_C3,0.884,106,0.951,1.000,0.469,0
,Q281_R61_C4,0.875,27,0.959,0.979,0.439,0
,Q281_R61_C5,0.873,135,0.952,0.958,0.360,0
,Q281_R61_C6,0.864,83,0.937,0.974,0.475,0
,Q281_R61_C7,0.911,740,0.960,0.996,0.383,0
,Q281_R61_C8,0.881,154,0.906,0.985,0.548,0
,Q281_R61_C9,0.919,740,0.947,0.996,0.152,0
,Q281_R61_C10,0.934,68,0.892,1.000,0.383,0
,Q282_R6_C1,0.861,23,0.957,1.000,0.555,0
,Q282_R6_C2,0.882,743,0.959,1.000,0.312,0
,Q282_R6_C3,0.877,262,0.957,0.986,0.361,0
,Q282_R6_C4,0.883,298,0.959,0.994,0.519,0
,Q282_R6_C5,0.904,249,0.953,1.000,0.413,0
,Q282_R6_C6,0.851,537,0.963,1.000,0.538,0
,Q282_R6_C7,0.930,101,0.941,1.000,0.468,0
,Q282_R6_C8,0.869,6,0.961,1.000,0.511,0
,Q282_R6_C9,0.883,38,0.964,1.000,0.518,0
,Q282_R6_C10,0.902,337,0.962,0.994,0.455,0
,Q282_R9_C1,0.980,232,0.807,1.000,0.265,0
,Q282_R9_C2,0.875,33,0.965,1.000,0.543,1
,Q282_R9_C3,0.851,53,0.961,1.000,0.496,1
,Q282_R9_C4,0.927,198,0.940,1.000,0.455,0
,Q282_R9_C5,0.942,211,0.856,1.000,0.143,0
,Q282_R9_C6,0.900,8,0.932,1.000,0.390,0
,Q282_R9_C7,0.901,743,0.968,1.000,0.400,1
,Q282_R9_C8,0.867,710,0.971,0.987,0.660,1
,Q282_R9_C9,0.844,203,0.952,0.993,0.497,0
,Q282_R9_C10,0.970,88,0.862,1.000,0.208,1
,Q282_R12_C1,0.839,743,0.975,0.992,0.551,1
,Q282_R12_C2,0.904,198,0.923,1.000,0.495,1
,Q282_R12_C3,1.000,232,0.865,1.000,0.333,0
,Q282_R12_C4,1.000,232,0.865,1.000,0.333,0
,Q282_R12_C5,0.961,213,0.844,1.000,0.220,0
,Q282_R12_C6,0.910,24,0.949,0.990,0.520,1
,Q282_R12_C7,0.923,121,0.927,1.000,0.482,0
,Q282_R12_C8,0.945,191,0.891,1.000,0.382,0
,Q282_R12_C9,0.875,61,0.950,1.000,0.507,1
,Q282_R12_C10,0.881,126,0.919,0.971,0.358,1
,Q282_R14_C1,0.962,212,0.870,1.000,0.379,0
,Q282_R14_C2,0.944,117,0.900,1.000,0.219,0
,Q282_R14_C3,0.931,187,0.859,1.000,0.074,0
,Q282_R14_C4,0.875,698,0.960,0.996,0.399,0
,Q282_R14_C5,0.890,743,0.970,0.996,0.415,0
,Q282_R14_C6,0.868,124,0.971,0.992,0.568,0
,Q282_R14_C7,0.845,703,0.979,0.996,0.517,1
,Q282_R14_C8,0.901,743,0.972,1.000,0.579,0
,Q282_R14_C9,0.870,749,0.968,0.996,0.594,0
,Q282_R14_C10,0.872,21,0.949,1.000,0.425,0
,Q282_R16_C1,0.859,49,0.971,0.990,0.502,0
,Q282_R16_C2,0.930,181,0.929,1.000,0.449,0
,Q282_R16_C3,0.895,603,0.941,0.995,0.053,0
,Q282_R16_C4,0.985,9,0.867,1.000,0.167,0
,Q282_R16_C5,0.869,103,0.934,1.000,0.414,0
,Q282_R16_C6,0.929,15,0.963,1.000,0.352,0
,Q282_R16_C7,0.922,145,0.943,1.000,0.388,0
,Q282_R16_C8,0.869,138,0.966,0.986,0.356,0
,Q282_R16_C9,0.881,465,0.963,1.000,0.513,0
,Q282_R16_C10,0.904,5,0.961,1.000,0.333,0
,Q282_R17_C1,0.865,37,0.969,1.000,0.491,0
,Q282_R17_C2,0.869,131,0.944,1.000,0.544,0
,Q282_R17_C3,0.906,500,0.953,0.989,0.453,0
,Q282_R17_C4,0.822,211,0.973,0.993,0.515,0
,Q282_R17_C5,0.952,158,0.922,1.000,0.486,0
,Q282_R17_C6,0.876,433,0.965,0.971,0.374,0
,Q282_R17_C7,0.855,275,0.962,1.000,0.556,0
,Q282_R17_C8,0.932,188,0.869,1.000,0.363,0
,Q282_R17_C9,0.849,119,0.952,0.992,0.583,0
,Q282_R17_C10,0.944,187,0.914,1.000,0.208,0
,Q282_R18_C1,1.000,132,0.889,1.000,0.084,0
,Q282_R18_C2,0.889,24,0.863,1.000,0.232,0
,Q282_R18_C3,0.957,236,0.878,1.000,0.273,0
,Q282_R18_C4,0.966,164,0.850,1.000,-0.066,0
,Q282_R18_C5,0.934,28,0.872,1.000,0.222,0
,Q282_R18_C6,0.867,178,0.971,0.977,0.605,0
,Q282_R18_C7,0.924,5,0.942,1.000,0.243,1
,Q282_R18_C8,0.880,9,0.947,1.000,0.369,0
,Q282_R18_C9,0.884,521,0.966,1.000,0.444,0
,Q282_R18_C10,0.863,336,0.966,0.993,0.441,0
,Q282_R35_C1,0.868,259,0.966,1.000,0.532,0
,Q282_R35_C2,0.895,30,0.949,1.000,0.379,0
,Q282_R35_C3,0.849,436,0.958,1.000,0.613,0
,Q282_R35_C4,0.852,16,0.937,1.000,0.530,0
,Q282_R35_C5,0.829,58,0.961,1.000,0.570,0
,Q282_R35_C6,0.891,108,0.947,0.987,0.560,0
,Q282_R35_C7,0.887,353,0.966,0.989,0.541,0
,Q282_R35_C8,0.893,743,0.964,1.000,0.435,0
,Q282_R35_C9,0.835,61,0.956,0.992,0.477,0
,Q282_R35_C10,0.915,27,0.921,0.988,0.391,0
,Q282_R36_C1,0.962,205,0.900,1.000,0.320,0
,Q282_R36_C2,0.914,30,0.914,1.000,0.312,0
,Q282_R36_C3,0.961,209,0.807,1.000,0.208,0
,Q282_R36_C4,0.979,243,0.687,1.000,0.043,0
,Q282_R36_C5,0.934,135,0.910,1.000,0.123,0
,Q282_R36_C6,0.889,704,0.968,0.996,0.383,0
,Q282_R36_C7,0.889,109,0.937,1.000,0.395,0
,Q282_R36_C8,0.964,180,0.829,1.000,0.233,0
,Q282_R36_C9,0.873,80,0.950,1.000,0.320,0
,Q282_R36_C10,0.923,132,0.916,1.000,0.196,0
,Q282_R38_C1,0.938,241,0.690,1.000,0.266,0
,Q282_R38_C2,0.945,183,0.896,1.000,0.115,0
,Q282_R38_C3,0.897,4,0.964,1.000,0.505,0
,Q282_R38_C4,0.930,171,0.882,1.000,0.341,0
,Q282_R38_C5,0.914,25,0.939,1.000,0.343,0
,Q282_R38_C6,0.882,80,0.937,1.000,0.424,0
,Q282_R38_C7,0.932,165,0.924,1.000,0.419,0
,Q282_R38_C8,0.922,122,0.904,1.000,0.131,0
,Q282_R38_C9,0.920,743,0.963,0.991,0.357,0
,Q282_R38_C10,0.933,144,0.943,1.000,0.344,0
,Q283_R7_C1,0.885,105,0.923,1.000,0.100,0
,Q283_R7_C2,0.953,63,0.935,1.000,0.294,0
,Q283_R7_C3,0.949,121,0.839,1.000,0.146,0
,Q283_R7_C4,0.922,268,0.951,0.993,0.182,0
,Q283_R7_C5,0.971,72,0.939,1.000,0.289,0
,Q283_R7_C6,0.942,45,0.936,1.000,0.154,0
,Q283_R7_C7,0.925,41,0.936,0.988,0.118,1
,Q283_R7_C8,0.930,139,0.916,1.000,-0.028,0
,Q283_R7_C9,0.944,35,0.918,1.000,0.179,0
,Q283_R7_C10,0.920,4,0.928,1.000,0.045,1
,Q283_R9_C1,0.850,57,0.916,1.000,0.432,1
,Q283_R9_C2,0.882,23,0.945,0.989,0.192,0
,Q283_R9_C3,0.926,592,0.954,0.991,0.224,1
,Q283_R9_C4,0.913,554,0.951,0.995,0.213,1
,Q283_R9_C5,0.951,234,0.803,1.000,0.385,0
,Q283_R9_C6,0.962,181,0.887,1.000,0.229,0
,Q283_R9_C7,0.907,279,0.935,1.000,0.157,0
,Q283_R9_C8,0.907,14,0.931,1.000,0.192,0
,Q283_R9_C9,0.889,476,0.941,0.983,0.170,1
,Q283_R9_C10,0.851,2,0.944,0.978,0.283,0
,Q283_R12_C1,0.917,182,0.902,0.982,0.210,0
,Q283_R12_C2,0.976,235,0.566,1.000,0.025,0
,Q283_R12_C3,1.000,209,0.729,1.000,-0.003,0
,Q283_R12_C4,0.925,163,0.905,0.984,0.171,0
,Q283_R12_C5,0.914,628,0.946,1.000,0.215,1
,Q283_R12_C6,0.921,66,0.869,0.987,-0.018,1
,Q283_R12_C7,0.964,36,0.880,1.000,-0.072,1
,Q283_R12_C8,0.945,143,0.918,1.000,0.310,0
,Q283_R12_C9,0.933,179,0.661,0.993,-0.004,1
,Q283_R12_C10,0.929,216,0.857,1.000,-0.034,1
,Q283_R25_C1,0.978,211,0.782,1.000,-0.038,0
,Q283_R25_C2,1.000,144,0.873,1.000,0.102,0
,Q283_R25_C3,0.960,187,0.882,1.000,0.063,0
,Q283_R25_C4,0.956,220,0.883,1.000,0.127,0
,Q283_R25_C5,0.926,39,0.921,0.991,0.184,0
,Q283_R25_C6,0.918,744,0.927,0.995,0.135,0
,Q283_R25_C7,0.978,218,0.809,1.000,0.234,0
,Q283_R25_C8,0.932,129,0.926,1.000,0.272,0
,Q283_R25_C9,0.978,227,0.869,1.000,0.306,0
,Q283_R25_C10,1.000,183,0.000,1.000,-0.043,0
,Q283_R26_C1,0.968,139,0.895,1.000,0.324,0
,Q283_R26_C2,0.956,96,0.839,0.988,0.068,0
,Q283_R26_C3,0.893,124,0.907,1.000,0.228,0
,Q283_R26_C4,0.980,189,0.836,1.000,0.057,0
,Q283_R26_C5,0.953,104,0.876,1.000,-0.006,0
,Q283_R26_C6,0.908,268,0.922,0.994,-0.004,0
,Q283_R26_C7,0.911,135,0.907,1.000,0.372,0
,Q283_R26_C8,0.889,2,0.951,0.989,0.249,0
,Q283_R26_C9,0.918,38,0.924,1.000,0.152,0
,Q283_R26_C10,0.945,172,0.930,1.000,0.119,0
,Q283_R31_C1,0.909,77,0.951,0.988,0.231,0
,Q283_R31_C2,0.962,184,0.865,1.000,0.030,0
,Q283_R31_C3,0.933,97,0.935,1.000,0.117,0
,Q283_R31_C4,0.927,161,0.856,1.000,0.109,0
,Q283_R31_C5,0.980,188,0.909,1.000,0.014,0
,Q283_R31_C6,0.886,13,0.942,0.990,0.131,0
,Q283_R31_C7,0.891,196,0.890,0.982,0.259,0
,Q283_R31_C8,0.920,343,0.940,0.987,0.251,0
,Q283_R31_C9,0.895,89,0.937,0.982,0.205,0
,Q283_R31_C10,0.902,96,0.908,0.973,0.159,0
,Q283_R35_C1,0.935,439,0.938,0.995,0.091,0
,Q283_R35_C2,0.940,90,0.835,1.000,-0.123,0
,Q283_R35_C3,0.934,140,0.900,1.000,0.020,0
,Q283_R35_C4,0.941,275,0.929,0.993,0.061,0
,Q283_R35_C5,0.899,3,0.883,1.000,-0.175,0
,Q283_R35_C6,0.936,16,0.908,1.000,0.211,0
,Q283_R35_C7,0.921,69,0.919,1.000,0.215,0
,Q283_R35_C8,0.917,14,0.938,1.000,0.132,0
,Q283_R35_C9,0.922,275,0.947,0.993,0.106,0
,Q283_R35_C10,0.913,515,0.955,1.000,0.311,0
,Q283_R36_C1,1.000,182,0.870,1.000,-0.059,0
,Q283_R36_C2,0.924,13,0.947,1.000,0.192,0
,Q283_R36_C3,0.922,14,0.896,0.987,0.290,0
,Q283_R36_C4,0.936,14,0.945,0.989,0.197,0
,Q283_R36_C5,0.949,70,0.819,1.000,0.077,0
,Q283_R36_C6,0.982,84,0.835,1.000,0.071,0
,Q283_R36_C7,0.979,217,0.845,1.000,0.249,0
,Q283_R36_C8,0.961,186,0.712,1.000,0.073,0
,Q283_R36_C9,0.969,44,0.861,1.000,0.157,0
,Q283_R36_C10,0.928,64,0.931,1.000,0.149,0
,Q283_R39_C1,0.929,228,0.881,1.000,0.228,0
,Q283_R39_C2,0.896,185,0.839,1.000,0.233,0
,Q283_R39_C3,0.906,151,0.919,1.000,0.211,0
,Q283_R39_C4,0.917,93,0.928,0.986,0.184,0
,Q283_R39_C5,0.906,77,0.932,0.974,0.397,0
,Q283_R39_C6,0.947,147,0.911,0.985,0.246,0
,Q283_R39_C7,0.900,53,0.943,1.000,0.279,0
,Q283_R39_C8,0.980,193,0.802,1.000,0.176,0
,Q283_R39_C9,0.925,171,0.924,1.000,0.320,0
,Q283_R39_C10,0.907,16,0.948,1.000,0.390,0
,Q283_R52_C1,1.000,209,0.865,1.000,0.248,0
,Q283_R52_C2,0.904,110,0.951,1.000,0.338,0
,Q283_R52_C3,0.956,208,0.851,1.000,0.120,0
,Q283_R52_C4,1.000,237,0.509,1.000,0.161,0
,Q283_R52_C5,0.944,19,0.939,1.000,0.321,0
,Q283_R52_C6,0.953,219,0.895,0.980,0.510,1
,Q283_R52_C7,0.959,160,0.864,1.000,0.090,0
,Q283_R52_C8,0.964,154,0.887,1.000,0.230,0
,Q283_R52_C9,0.945,160,0.888,0.985,-0.026,0
,Q283_R52_C10,0.961,177,0.922,1.000,0.435,0
,Q284_R8_C1,0.921,171,0.495,1.000,-0.089,0
,Q284_R8_C2,0.951,207,0.941,1.000,0.372,0
,Q284_R8_C3,0.909,19,0.758,1.000,0.335,0
,Q284_R8_C4,0.946,161,0.941,1.000,0.330,0
,Q284_R8_C5,0.867,36,0.944,1.000,0.354,0
,Q284_R8_C6,0.912,94,0.946,1.000,0.363,0
,Q284_R8_C7,0.907,111,0.884,1.000,0.239,0
,Q284_R8_C8,0.940,171,0.879,1.000,0.078,0
,Q284_R8_C9,0.957,163,0.765,1.000,0.039,0
,Q284_R8_C10,0.891,79,0.951,0.993,0.405,0
,Q284_R29_C1,0.964,265,0.821,1.000,0.196,0
,Q284_R29_C2,1.000,236,0.811,1.000,0.057,0
,Q284_R29_C3,0.964,199,0.880,0.985,0.012,0
,Q284_R29_C4,0.922,109,0.893,1.000,0.270,0
,Q284_R29_C5,0.961,78,0.920,1.000,0.323,0
,Q284_R29_C6,0.909,164,0.929,1.000,0.275,0
,Q284_R29_C7,0.952,157,0.923,0.987,0.307,0
,Q284_R29_C8,0.938,191,0.916,1.000,0.411,0
,Q284_R29_C9,0.854,97,0.970,0.985,0.407,0
,Q284_R29_C10,0.934,53,0.942,1.000,0.219,0
,Q284_R33_C1,1.000,247,0.785,1.000,0.081,0
,Q284_R33_C2,0.949,239,0.888,1.000,0.447,0
,Q284_R33_C3,0.949,92,0.879,1.000,0.078,0
,Q284_R33_C4,0.981,273,0.574,1.000,0.219,0
,Q284_R33_C5,0.981,267,0.520,1.000,-0.029,0
,Q284_R33_C6,0.917,19,0.938,0.991,0.222,0
,Q284_R33_C7,1.000,254,0.835,1.000,0.099,0
,Q284_R33_C8,0.917,220,0.927,1.000,0.318,0
,Q284_R33_C9,0.935,205,0.895,1.000,0.315,0
