original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
Q307,Q307_R15,0.955,339,0.841,1.0,0.237,Irrelevant
Q307,Q307_R23,0.952,282,0.883,1.0,0.348,Irrelevant
Q307,Q307_R35,0.947,354,0.888,0.99,0.219,Irrelevant
Q307,Q307_R36,0.921,73,0.892,1.0,0.347,Irrelevant
Q307,Q307_R45,0.941,320,0.855,1.0,0.239,Irrelevant
Q308,Q308_R14,0.909,19,0.945,1.0,0.44,Irrelevant
Q308,Q308_R17,0.878,79,0.953,0.992,0.324,Irrelevant
Q308,Q308_R22,0.902,140,0.927,0.987,0.433,Irrelevant
Q308,Q308_R23,0.829,42,0.953,0.991,0.369,Irrelevant
Q308,Q308_R27,0.867,89,0.963,1.0,0.376,Irrelevant
Q308,Q308_R32,0.971,120,0.938,1.0,0.345,Irrelevant
Q308,Q308_R40,0.912,181,0.921,1.0,0.439,Irrelevant
Q308,Q308_R41,0.899,78,0.926,1.0,0.517,Irrelevant
Q308,Q308_R48,0.9,97,0.944,1.0,0.545,Irrelevant
Q308,Q308_R53,0.867,115,0.953,1.0,0.414,Irrelevant
Q309,Q309_R1,0.803,143,0.959,0.958,0.727,PerfectMatch
Q309,Q309_R4,0.871,261,0.941,0.992,0.553,PerfectMatch
Q309,Q309_R9,0.811,14,0.937,1.0,0.67,PerfectMatch
Q309,Q309_R11,0.896,48,0.93,1.0,0.629,Relevant
Q309,Q309_R12,0.843,279,0.956,0.975,0.708,PerfectMatch
Q309,Q309_R19,0.877,108,0.932,0.988,0.463,PerfectMatch
Q309,Q309_R23,0.839,7,0.942,0.986,0.728,Relevant
Q309,Q309_R26,0.857,140,0.961,1.0,0.711,PerfectMatch
Q309,Q309_R29,0.827,20,0.949,1.0,0.587,Relevant
Q309,Q309_R61,0.824,102,0.936,0.965,0.649,Relevant
Q310,Q310_R14,0.844,107,0.959,0.94,0.501,Relevant
Q310,Q310_R22,0.872,51,0.903,0.982,0.268,Relevant
Q310,Q310_R23,0.824,127,0.938,0.989,0.483,Relevant
Q310,Q310_R33,0.865,262,0.964,0.957,0.442,Relevant
Q310,Q310_R35,0.821,74,0.977,0.964,0.523,Relevant
Q310,Q310_R37,0.855,15,0.952,0.984,0.431,Relevant
Q310,Q310_R45,0.873,45,0.947,0.987,0.419,Relevant
Q310,Q310_R52,0.823,203,0.967,0.975,0.489,Relevant
Q310,Q310_R60,0.828,32,0.953,0.947,0.426,Relevant
Q310,Q310_R78,0.8,65,0.932,0.944,0.526,Irrelevant
Q311,Q311_R7,0.848,231,0.972,0.98,0.64,PerfectMatch
Q311,Q311_R9,0.826,188,0.951,0.989,0.616,Relevant
Q311,Q311_R24,0.774,197,0.946,0.966,0.66,Relevant
Q311,Q311_R31,0.949,264,0.94,1.0,0.42,Relevant
Q311,Q311_R37,0.911,263,0.92,1.0,0.333,Irrelevant
Q311,Q311_R48,0.809,37,0.959,1.0,0.616,Relevant
Q311,Q311_R49,0.855,265,0.95,0.978,0.57,Irrelevant
Q311,Q311_R51,0.883,200,0.956,1.0,0.436,Relevant
Q311,Q311_R60,0.812,64,0.905,0.944,0.587,Relevant
Q311,Q311_R61,0.763,32,0.386,0.98,0.398,Relevant
Q312,Q312_R6,0.859,115,0.966,1.0,0.631,Relevant
Q312,Q312_R13,0.884,24,0.95,1.0,0.576,Relevant
Q312,Q312_R19,0.889,70,0.961,1.0,0.602,Relevant
Q312,Q312_R31,0.852,19,0.967,0.991,0.49,Relevant
Q312,Q312_R37,0.84,55,0.964,1.0,0.67,PerfectMatch
Q312,Q312_R42,0.912,121,0.952,1.0,0.556,Relevant
Q312,Q312_R47,0.929,142,0.951,1.0,0.574,Relevant
Q312,Q312_R51,0.989,5,0.945,1.0,0.474,Irrelevant
Q312,Q312_R57,0.896,138,0.876,1.0,0.685,Irrelevant
Q312,Q312_R60,0.875,154,0.947,1.0,0.732,PerfectMatch
Q313,Q313_R4,0.875,66,0.93,0.984,0.491,Irrelevant
Q313,Q313_R6,0.894,8,0.894,1.0,0.379,Irrelevant
Q313,Q313_R9,0.898,9,0.907,1.0,0.265,Irrelevant
Q313,Q313_R10,0.88,10,0.935,0.965,0.36,Irrelevant
Q313,Q313_R30,0.881,32,0.859,1.0,0.382,Irrelevant
Q313,Q313_R37,0.851,169,0.934,0.989,0.441,Irrelevant
Q313,Q313_R41,0.9,90,0.894,0.987,0.339,Irrelevant
Q313,Q313_R43,0.902,27,0.918,0.983,0.221,Irrelevant
Q313,Q313_R48,0.886,24,0.914,0.98,0.2,Irrelevant
Q313,Q313_R50,0.879,119,0.927,1.0,0.45,Irrelevant
Q314,Q314_R2,0.818,10,0.921,0.957,0.471,Relevant
Q314,Q314_R4,0.958,34,0.839,1.0,0.361,Irrelevant
Q314,Q314_R5,0.948,371,0.932,1.0,0.334,Irrelevant
Q314,Q314_R11,0.942,406,0.909,1.0,0.428,Irrelevant
Q314,Q314_R17,0.917,79,0.919,1.0,0.445,Relevant
Q314,Q314_R18,0.957,178,0.897,1.0,0.419,Irrelevant
Q314,Q314_R21,0.905,117,0.939,1.0,0.421,Irrelevant
Q314,Q314_R22,0.957,127,0.86,1.0,0.429,Irrelevant
Q314,Q314_R25,0.948,348,0.927,1.0,0.325,Irrelevant
Q314,Q314_R28,0.937,265,0.924,1.0,0.494,Irrelevant
Q315,Q315_R21,0.93,402,0.849,0.99,0.371,Irrelevant
Q315,Q315_R27,0.958,202,0.751,1.0,0.008,Irrelevant
Q315,Q315_R35,0.944,360,0.838,0.989,0.149,Irrelevant
Q315,Q315_R36,0.909,52,0.887,0.957,0.135,Irrelevant
Q315,Q315_R43,0.974,410,0.842,1.0,0.447,Irrelevant
Q315,Q315_R44,0.8,42,0.909,0.913,0.669,Relevant
Q315,Q315_R45,0.956,430,0.873,1.0,0.49,Irrelevant
Q315,Q315_R46,0.967,344,0.851,1.0,0.403,Irrelevant
Q315,Q315_R47,0.909,117,0.887,0.974,0.227,Relevant
Q315,Q315_R48,0.983,277,0.828,1.0,0.373,Irrelevant
Q316,Q316_R2,0.899,246,0.96,0.979,0.52,PerfectMatch
Q316,Q316_R3,0.932,166,0.958,1.0,0.433,Relevant
Q316,Q316_R8,0.971,280,0.924,0.989,0.374,Relevant
Q316,Q316_R10,0.869,16,0.965,0.993,0.223,Relevant
Q316,Q316_R15,0.911,174,0.946,1.0,0.206,PerfectMatch
Q316,Q316_R17,0.983,343,0.671,1.0,0.245,Irrelevant
Q316,Q316_R20,0.934,313,0.918,0.988,0.348,Relevant
Q316,Q316_R25,0.931,154,0.908,1.0,0.267,Irrelevant
Q316,Q316_R31,0.957,252,0.789,1.0,-0.017,Relevant
Q316,Q316_R34,0.959,249,0.933,1.0,0.249,Irrelevant
Q317,Q317_R2,0.895,71,0.871,1.0,0.396,Relevant
Q317,Q317_R4,0.914,267,0.896,0.977,0.388,PerfectMatch
Q317,Q317_R8,0.872,185,0.893,1.0,0.319,Relevant
Q317,Q317_R9,0.868,161,0.901,1.0,0.366,Irrelevant
Q317,Q317_R10,0.904,278,0.896,0.989,0.536,Relevant
Q317,Q317_R12,0.922,286,0.892,0.989,0.363,Relevant
Q317,Q317_R16,0.933,299,0.887,0.99,0.285,Irrelevant
Q317,Q317_R19,0.927,207,0.868,1.0,0.31,Irrelevant
Q317,Q317_R21,0.922,175,0.892,1.0,0.396,Relevant
Q317,Q317_R23,0.905,121,0.856,1.0,0.254,Irrelevant
