id,question1_id,question2_id,jaccard_distance,length_difference,cosine_similarity,relevance
557,Q6,Q6_R38,0.827,186,0.709,0
558,Q6,Q6_R39,0.915,20,0.699,0
559,Q6,Q6_R46,0.896,140,0.686,0
560,Q7,Q7_R22,0.824,57,0.762,1
561,Q7,Q7_R24,0.859,97,0.78,0
562,Q7,Q7_R26,0.878,206,0.823,0
563,Q7,Q7_R31,0.884,135,0.758,0
564,Q7,Q7_R35,0.83,7,0.793,0
565,Q7,Q7_R36,0.9,28,0.638,0
566,Q7,Q7_R39,0.914,66,0.735,0
567,Q7,Q7_R43,0.931,16,0.837,0
568,Q7,Q7_R44,0.878,169,0.82,0
569,Q7,Q7_R45,0.937,2,0.774,0
570,Q8,Q8_R38,0.758,166,0.852,1
571,Q8,Q8_R65,0.955,175,0.394,0
572,Q8,Q8_R67,0.967,225,0.823,0
573,Q8,Q8_R69,0.915,54,0.719,1
574,Q8,Q8_R70,0.869,102,0.747,0
575,Q8,Q8_R75,0.88,97,0.632,0
576,Q8,Q8_R78,0.9,56,0.705,0
577,Q8,Q8_R83,0.937,204,0.669,0
578,Q8,Q8_R88,0.889,144,0.381,0
579,Q8,Q8_R89,0.883,153,0.759,0
580,Q9,Q9_R5,0.878,68,0.751,1
581,Q9,Q9_R12,0.714,49,0.77,1
582,Q9,Q9_R21,0.865,36,0.554,1
583,Q9,Q9_R28,0.942,108,0.67,0
584,Q9,Q9_R31,0.897,43,0.506,1
585,Q9,Q9_R40,0.833,47,0.498,0
586,Q9,Q9_R41,0.667,63,0.823,0
587,Q9,Q9_R43,0.954,253,0.708,0
588,Q9,Q9_R45,0.905,99,0.675,0
589,Q9,Q9_R47,0.903,48,0.565,0
590,Q10,Q10_R2,0.892,82,0.538,1
591,Q10,Q10_R4,0.846,231,0.696,1
592,Q10,Q10_R8,0.929,327,0.54,1
593,Q10,Q10_R11,0.91,372,0.556,0
594,Q10,Q10_R16,0.929,48,0.602,0
595,Q10,Q10_R19,0.944,333,0.646,0
596,Q10,Q10_R22,0.929,425,0.657,1
597,Q10,Q10_R32,0.891,226,0.683,0
598,Q10,Q10_R33,0.917,208,0.548,0
599,Q10,Q10_R39,0.938,63,0.69,0
600,Q11,Q11_R1,0.737,1,0.555,1
601,Q11,Q11_R3,0.7,4,0.719,1
602,Q11,Q11_R13,0.833,10,0.746,1
603,Q11,Q11_R18,0.941,310,0.635,1
604,Q11,Q11_R20,0.846,21,0.655,1
605,Q11,Q11_R26,0.925,111,0.611,1
606,Q11,Q11_R27,0.706,27,0.629,1
607,Q11,Q11_R31,0.818,13,0.531,1
608,Q11,Q11_R36,0.947,85,0.502,1
609,Q11,Q11_R40,0.939,315,0.611,1
610,Q12,Q12_R2,0.8,63,0.398,1
611,Q12,Q12_R7,0.922,364,0.709,1
612,Q12,Q12_R11,0.912,328,0.645,0
613,Q12,Q12_R13,0.9,210,0.829,0
614,Q12,Q12_R23,0.918,115,0.656,0
615,Q12,Q12_R26,0.908,292,0.675,0
616,Q12,Q12_R27,0.917,222,0.685,0
617,Q12,Q12_R29,0.899,250,0.81,0
618,Q12,Q12_R34,0.892,12,0.561,0
619,Q12,Q12_R37,0.857,93,0.713,0
620,Q13,Q13_R3,0.895,180,0.734,1
621,Q13,Q13_R7,0.938,31,0.886,1
622,Q13,Q13_R20,0.931,222,0.768,0
623,Q13,Q13_R21,0.922,50,0.753,0
624,Q13,Q13_R24,0.882,159,0.61,0
625,Q13,Q13_R27,0.959,46,0.647,0
626,Q13,Q13_R30,0.892,73,0.789,0
627,Q13,Q13_R32,0.918,114,0.826,0
628,Q13,Q13_R33,0.907,187,0.794,0
629,Q13,Q13_R40,0.932,68,0.775,0
630,Q14,Q14_R1,0.787,24,0.88,1
631,Q14,Q14_R5,0.876,83,0.845,1
632,Q14,Q14_R7,0.864,21,0.802,1
633,Q14,Q14_R9,0.881,143,0.765,1
634,Q14,Q14_R10,0.809,66,0.896,0
635,Q14,Q14_R14,0.844,48,0.853,1
636,Q14,Q14_R17,0.871,131,0.824,1
637,Q14,Q14_R20,0.868,244,0.695,1
638,Q14,Q14_R23,0.881,136,0.753,1
639,Q14,Q14_R24,0.869,9,0.87,0
640,Q15,Q15_R1,0.882,366,0.493,1
641,Q15,Q15_R2,0.866,244,0.492,0
642,Q15,Q15_R4,0.961,85,0.702,1
643,Q15,Q15_R6,0.85,52,0.585,1
644,Q15,Q15_R9,0.854,44,0.552,1
645,Q15,Q15_R17,0.899,223,0.717,0
646,Q15,Q15_R21,0.884,266,0.553,1
647,Q15,Q15_R23,0.883,270,0.733,1
648,Q15,Q15_R30,0.902,203,0.544,1
649,Q15,Q15_R36,0.851,38,0.506,0
650,Q16,Q16_R5,0.908,19,0.853,0
651,Q16,Q16_R9,0.887,26,0.802,0
652,Q16,Q16_R13,0.867,79,0.865,0
653,Q16,Q16_R28,0.892,181,0.809,0
654,Q16,Q16_R29,0.833,28,0.805,0
655,Q16,Q16_R30,0.898,147,0.739,0
656,Q16,Q16_R40,0.847,118,0.803,0
657,Q16,Q16_R48,0.982,169,0.585,0
658,Q16,Q16_R51,0.896,83,0.798,0
659,Q16,Q16_R59,0.908,158,0.882,0
660,Q17,Q17_R3,0.902,168,0.563,1
661,Q17,Q17_R13,0.9,29,0.642,1
662,Q17,Q17_R17,0.906,110,0.743,1
663,Q17,Q17_R23,0.844,205,0.714,1
664,Q17,Q17_R26,0.9,219,0.624,0
665,Q17,Q17_R30,0.922,315,0.568,0
666,Q17,Q17_R38,0.915,281,0.667,0
667,Q17,Q17_R40,0.903,49,0.671,1
668,Q17,Q17_R46,0.917,79,0.703,0
669,Q17,Q17_R56,0.875,53,0.674,0
670,Q18,Q18_R6,0.868,108,0.861,1
671,Q18,Q18_R9,0.875,169,0.817,1
672,Q18,Q18_R13,0.878,78,0.839,0
673,Q18,Q18_R14,0.853,36,0.541,0
674,Q18,Q18_R16,0.957,211,0.683,0
675,Q18,Q18_R18,0.912,199,0.563,1
676,Q18,Q18_R19,0.841,49,0.865,1
677,Q18,Q18_R28,0.923,30,0.747,1
678,Q18,Q18_R29,0.882,84,0.694,1
679,Q18,Q18_R35,0.889,5,0.865,1
680,Q19,Q19_R6,0.87,42,0.814,1
681,Q19,Q19_R9,0.784,77,0.85,0
682,Q19,Q19_R10,0.886,12,0.786,1
683,Q19,Q19_R22,0.852,37,0.833,1
684,Q19,Q19_R23,0.862,158,0.814,0
685,Q19,Q19_R27,0.887,43,0.613,0
686,Q19,Q19_R35,0.89,8,0.808,0
687,Q19,Q19_R37,0.933,172,0.549,0
688,Q19,Q19_R38,0.839,143,0.749,1
689,Q19,Q19_R45,0.831,56,0.814,0
690,Q20,Q20_R7,0.861,187,0.869,0
691,Q20,Q20_R20,0.887,67,0.73,1
692,Q20,Q20_R22,0.843,252,0.862,1
693,Q20,Q20_R34,0.86,201,0.824,1
694,Q20,Q20_R43,0.882,108,0.557,0
695,Q20,Q20_R45,0.846,256,0.859,0
696,Q20,Q20_R51,0.936,109,0.638,0
697,Q20,Q20_R59,0.837,216,0.826,1
698,Q20,Q20_R64,0.939,151,0.778,0
699,Q20,Q20_R66,0.848,19,0.734,1
700,Q21,Q21_R17,0.933,83,0.598,0
701,Q21,Q21_R22,0.92,340,0.701,1
702,Q21,Q21_R23,0.72,0,0.743,1
703,Q21,Q21_R51,0.94,210,0.537,0
704,Q21,Q21_R58,0.917,54,0.653,0
705,Q21,Q21_R64,0.9,62,0.668,0
706,Q21,Q21_R71,0.941,271,0.531,0
707,Q21,Q21_R77,0.865,79,0.543,1
708,Q21,Q21_R82,0.913,123,0.74,0
709,Q21,Q21_R87,0.878,187,0.683,0
710,Q22,Q22_R17,0.843,82,0.825,1
711,Q22,Q22_R24,0.833,66,0.793,0
712,Q22,Q22_R32,0.893,63,0.852,1
713,Q22,Q22_R35,0.875,103,0.838,1
714,Q22,Q22_R37,0.833,55,0.894,0
715,Q22,Q22_R42,0.802,63,0.787,1
716,Q22,Q22_R43,0.889,145,0.635,0
717,Q22,Q22_R48,0.914,101,0.736,0
718,Q22,Q22_R58,0.86,157,0.844,0
719,Q22,Q22_R62,0.875,36,0.861,0
720,Q23,Q23_R7,0.902,132,0.796,1
721,Q23,Q23_R9,0.882,190,0.785,1
722,Q23,Q23_R11,0.908,125,0.732,1
723,Q23,Q23_R14,0.848,29,0.86,1
724,Q23,Q23_R26,0.895,29,0.81,0
725,Q23,Q23_R28,0.928,232,0.782,0
726,Q23,Q23_R29,0.879,35,0.905,0
727,Q23,Q23_R34,0.83,56,0.905,1
728,Q23,Q23_R38,0.909,51,0.805,0
729,Q23,Q23_R39,0.848,46,0.767,1
730,Q24,Q24_R12,0.879,99,0.753,0
731,Q24,Q24_R31,0.902,277,0.849,0
732,Q24,Q24_R34,0.902,23,0.658,0
733,Q24,Q24_R37,0.882,48,0.576,0
734,Q24,Q24_R54,0.843,311,0.792,0
735,Q24,Q24_R65,0.935,17,0.768,1
736,Q24,Q24_R67,0.919,41,0.791,0
737,Q24,Q24_R70,0.866,179,0.781,0
738,Q24,Q24_R78,0.917,186,0.781,0
739,Q24,Q24_R80,0.895,223,0.778,0
740,Q25,Q25_R2,0.973,166,0.652,1
741,Q25,Q25_R25,0.831,47,0.875,1
742,Q25,Q25_R47,0.818,111,0.903,1
743,Q25,Q25_R53,0.798,185,0.895,1
744,Q25,Q25_R58,0.84,5,0.787,1
745,Q25,Q25_R62,0.832,189,0.843,1
746,Q25,Q25_R74,0.864,34,0.834,1
747,Q25,Q25_R75,0.766,213,0.867,1
748,Q25,Q25_R78,0.88,147,0.854,1
749,Q25,Q25_R84,0.824,109,0.85,0
750,Q26,Q26_R4,0.92,264,0.571,1
751,Q26,Q26_R26,0.894,345,0.804,1
752,Q26,Q26_R35,0.892,192,0.793,0
753,Q26,Q26_R56,0.915,267,0.782,0
754,Q26,Q26_R65,0.934,239,0.842,1
755,Q26,Q26_R73,0.918,153,0.831,0
756,Q26,Q26_R77,0.956,181,0.716,0
757,Q26,Q26_R83,0.897,361,0.892,0
758,Q26,Q26_R84,0.977,297,0.578,0
759,Q26,Q26_R86,0.907,10,0.769,0
760,Q27,Q27_R2,0.889,129,0.558,1
761,Q27,Q27_R4,0.9,89,0.543,1
762,Q27,Q27_R11,0.912,314,0.506,1
763,Q27,Q27_R13,0.692,10,0.507,1
764,Q27,Q27_R14,0.833,125,0.578,1
765,Q27,Q27_R19,0.385,6,0.785,1
766,Q27,Q27_R24,0.904,345,0.6,1
767,Q27,Q27_R36,0.615,95,0.61,1
768,Q27,Q27_R38,0.86,211,0.455,1
769,Q27,Q27_R39,0.783,56,0.614,1
770,Q28,Q28_R6,0.828,2,0.772,1
771,Q28,Q28_R8,0.962,125,0.608,0
772,Q28,Q28_R13,0.852,10,0.785,0
773,Q28,Q28_R16,0.902,25,0.775,1
774,Q28,Q28_R20,0.9,146,0.612,0
775,Q28,Q28_R23,0.879,135,0.596,0
776,Q28,Q28_R24,0.817,110,0.742,1
777,Q28,Q28_R31,0.791,55,0.739,1
778,Q28,Q28_R36,0.922,95,0.752,0
779,Q28,Q28_R37,0.89,58,0.742,0
780,Q29,Q29_R2,0.919,296,0.813,1
781,Q29,Q29_R7,0.842,69,0.631,1
782,Q29,Q29_R10,0.941,22,0.728,1
783,Q29,Q29_R33,0.938,15,0.587,0
784,Q29,Q29_R42,0.922,226,0.61,1
785,Q29,Q29_R51,0.937,225,0.752,0
786,Q29,Q29_R52,0.949,78,0.583,0
787,Q29,Q29_R68,0.903,254,0.752,0
788,Q29,Q29_R70,0.91,275,0.844,0
789,Q29,Q29_R75,0.962,297,0.744,0
790,Q30,Q30_R9,0.969,98,0.646,0
791,Q30,Q30_R10,0.9,253,0.64,0
792,Q30,Q30_R11,0.935,71,0.383,0
793,Q30,Q30_R12,0.944,130,0.701,0
794,Q30,Q30_R20,0.875,63,0.685,0
795,Q30,Q30_R26,0.946,54,0.534,0
796,Q30,Q30_R27,0.893,276,0.568,0
797,Q30,Q30_R36,0.924,242,0.77,0
798,Q30,Q30_R37,0.938,285,0.699,0
799,Q30,Q30_R39,0.957,322,0.666,0
800,Q31,Q31_R12,0.858,95,0.816,0
801,Q31,Q31_R20,0.947,247,0.774,0
802,Q31,Q31_R22,0.89,120,0.873,0
803,Q31,Q31_R23,0.869,106,0.864,0
804,Q31,Q31_R27,0.906,183,0.78,0
805,Q31,Q31_R28,0.878,54,0.912,0
806,Q31,Q31_R30,0.879,104,0.859,0
807,Q31,Q31_R32,0.881,113,0.898,0
808,Q31,Q31_R35,0.883,48,0.801,0
809,Q31,Q31_R36,0.898,40,0.858,0
810,Q32,Q32_R6,0.892,31,0.75,0
811,Q32,Q32_R11,0.89,164,0.784,0
812,Q32,Q32_R17,0.927,11,0.865,0
813,Q32,Q32_R18,0.879,3,0.813,1
814,Q32,Q32_R22,0.908,146,0.654,0
815,Q32,Q32_R24,0.902,33,0.865,0
816,Q32,Q32_R31,0.963,134,0.612,0
817,Q32,Q32_R34,0.946,106,0.837,0
818,Q32,Q32_R36,0.87,136,0.796,0
819,Q32,Q32_R38,0.891,48,0.748,0
820,Q33,Q33_R10,0.775,139,0.738,1
821,Q33,Q33_R12,0.588,26,0.818,1
822,Q33,Q33_R26,0.851,169,0.651,1
823,Q33,Q33_R27,0.684,3,0.565,1
824,Q33,Q33_R33,0.588,28,0.697,1
825,Q33,Q33_R39,0.923,106,0.675,1
826,Q33,Q33_R72,0.886,65,0.704,0
827,Q33,Q33_R78,0.935,50,0.621,1
828,Q33,Q33_R91,0.884,138,0.725,1
829,Q33,Q33_R92,0.889,27,0.628,1
830,Q34,Q34_R16,0.861,78,0.55,1
831,Q34,Q34_R19,0.837,175,0.629,1
832,Q34,Q34_R33,0.879,244,0.765,0
833,Q34,Q34_R34,0.83,240,0.828,0
834,Q34,Q34_R45,0.843,177,0.704,1
835,Q34,Q34_R46,0.846,322,0.743,1
836,Q34,Q34_R51,0.854,98,0.733,0
837,Q34,Q34_R55,0.84,174,0.806,1
838,Q34,Q34_R73,0.943,127,0.757,0
839,Q34,Q34_R85,0.905,277,0.808,0
840,Q35,Q35_R8,0.896,85,0.517,0
841,Q35,Q35_R32,0.889,57,0.522,0
842,Q35,Q35_R33,0.901,307,0.638,0
843,Q35,Q35_R36,0.938,18,0.518,0
844,Q35,Q35_R40,0.932,31,0.601,0
845,Q35,Q35_R42,0.918,236,0.488,0
846,Q35,Q35_R43,0.909,35,0.64,0
847,Q35,Q35_R53,0.891,63,0.564,0
848,Q35,Q35_R59,0.857,4,0.603,0
849,Q35,Q35_R66,0.889,36,0.744,0
850,Q36,Q36_R7,0.778,13,0.815,1
851,Q36,Q36_R45,0.872,10,0.754,1
852,Q36,Q36_R47,0.818,56,0.908,1
853,Q36,Q36_R54,0.839,183,0.871,1
854,Q36,Q36_R55,0.879,186,0.807,1
855,Q36,Q36_R57,0.849,198,0.842,1
856,Q36,Q36_R60,0.854,75,0.852,1
857,Q36,Q36_R78,0.872,86,0.773,1
858,Q36,Q36_R79,0.774,70,0.899,1
859,Q36,Q36_R89,0.907,53,0.834,0
860,Q37,Q37_R7,0.859,79,0.888,1
861,Q37,Q37_R11,0.9,50,0.711,1
862,Q37,Q37_R27,0.854,122,0.877,1
863,Q37,Q37_R31,0.903,54,0.71,1
864,Q37,Q37_R39,0.791,214,0.731,1
865,Q37,Q37_R46,0.869,109,0.857,1
866,Q37,Q37_R49,0.854,3,0.84,0
867,Q37,Q37_R68,0.82,164,0.798,0
868,Q37,Q37_R69,0.9,203,0.795,1
869,Q37,Q37_R71,0.867,103,0.806,0
870,Q38,Q38_R13,0.867,97,0.804,1
871,Q38,Q38_R18,0.871,54,0.67,1
872,Q38,Q38_R20,0.849,56,0.897,0
873,Q38,Q38_R25,0.965,53,0.698,0
874,Q38,Q38_R26,0.878,128,0.759,0
875,Q38,Q38_R28,0.9,4,0.912,0
876,Q38,Q38_R31,0.859,134,0.828,0
877,Q38,Q38_R32,0.857,98,0.888,0
878,Q38,Q38_R37,0.864,36,0.854,0
879,Q38,Q38_R41,0.821,109,0.852,1
880,Q39,Q39_R3,0.882,133,0.783,1
881,Q39,Q39_R4,0.877,102,0.785,1
882,Q39,Q39_R5,0.875,164,0.701,1
883,Q39,Q39_R6,0.899,259,0.809,1
884,Q39,Q39_R7,0.901,169,0.706,1
885,Q39,Q39_R9,0.89,144,0.768,1
886,Q39,Q39_R12,0.884,171,0.71,0
887,Q39,Q39_R20,0.923,5,0.772,0
888,Q39,Q39_R22,0.867,195,0.757,1
889,Q39,Q39_R26,0.909,148,0.629,0
890,Q40,Q40_R2,0.826,69,0.638,1
891,Q40,Q40_R5,0.926,342,0.648,0
892,Q40,Q40_R14,0.923,188,0.49,0
893,Q40,Q40_R19,0.931,332,0.405,0
894,Q40,Q40_R23,0.907,309,0.562,0
895,Q40,Q40_R32,0.935,53,0.345,0
896,Q40,Q40_R35,0.913,77,0.496,0
897,Q40,Q40_R37,0.954,168,0.487,0
898,Q40,Q40_R41,0.915,268,0.591,0
899,Q40,Q40_R54,0.88,151,0.613,0
900,Q41,Q41_R9,0.87,19,0.725,1
901,Q41,Q41_R13,0.943,47,0.574,1
902,Q41,Q41_R18,0.861,52,0.799,1
903,Q41,Q41_R19,0.829,86,0.787,0
904,Q41,Q41_R24,0.871,68,0.656,0
905,Q41,Q41_R29,0.892,95,0.821,1
906,Q41,Q41_R41,0.875,106,0.849,0
907,Q41,Q41_R46,0.754,16,0.742,1
908,Q41,Q41_R47,0.829,27,0.74,1
909,Q41,Q41_R56,0.838,64,0.764,1
910,Q42,Q42_R1,0.932,216,0.755,0
911,Q42,Q42_R6,0.81,271,0.776,1
912,Q42,Q42_R10,0.896,92,0.759,1
913,Q42,Q42_R12,0.877,183,0.852,0
914,Q42,Q42_R13,0.835,242,0.858,1
915,Q42,Q42_R14,0.855,192,0.874,0
916,Q42,Q42_R18,0.877,183,0.741,1
917,Q42,Q42_R25,0.857,13,0.772,1
918,Q42,Q42_R31,0.885,262,0.805,0
919,Q42,Q42_R32,0.852,79,0.642,0
920,Q43,Q43_R3,0.881,314,0.764,1
921,Q43,Q43_R7,0.883,250,0.768,1
922,Q43,Q43_R11,0.908,271,0.657,1
923,Q43,Q43_R19,0.93,97,0.816,1
924,Q43,Q43_R29,0.949,362,0.718,0
925,Q43,Q43_R34,0.917,212,0.737,0
926,Q43,Q43_R45,0.949,309,0.644,1
927,Q43,Q43_R51,0.917,245,0.708,1
928,Q43,Q43_R56,0.925,264,0.793,0
929,Q43,Q43_R57,0.875,165,0.78,1
930,Q44,Q44_R29,0.854,204,0.843,1
931,Q44,Q44_R34,0.88,83,0.821,0
932,Q44,Q44_R35,0.852,168,0.842,1
933,Q44,Q44_R37,0.806,109,0.788,1
934,Q44,Q44_R45,0.867,294,0.848,1
935,Q44,Q44_R51,0.852,23,0.626,1
936,Q44,Q44_R53,0.796,293,0.787,0
937,Q44,Q44_R57,0.831,138,0.796,0
938,Q44,Q44_R58,0.814,257,0.802,1
939,Q44,Q44_R64,0.833,221,0.793,1
940,Q45,Q45_R1,0.88,56,0.655,0
941,Q45,Q45_R2,0.937,296,0.643,0
942,Q45,Q45_R3,0.878,75,0.567,0
943,Q45,Q45_R4,0.894,75,0.554,0
944,Q45,Q45_R9,0.932,9,0.544,0
945,Q45,Q45_R14,0.929,11,0.793,0
946,Q45,Q45_R25,0.929,80,0.347,0
947,Q45,Q45_R26,0.927,106,0.661,0
948,Q45,Q45_R29,0.927,280,0.722,0
949,Q45,Q45_R40,0.886,32,0.586,0
950,Q46,Q46_R1,0.831,199,0.878,1
951,Q46,Q46_R8,0.89,345,0.786,1
952,Q46,Q46_R10,0.843,142,0.747,1
953,Q46,Q46_R11,0.881,198,0.757,1
954,Q46,Q46_R12,0.889,180,0.816,1
955,Q46,Q46_R13,0.864,123,0.787,1
956,Q46,Q46_R23,0.825,79,0.81,0
957,Q46,Q46_R25,0.8,51,0.807,1
958,Q46,Q46_R28,0.829,5,0.819,0
959,Q46,Q46_R31,0.947,131,0.566,0
960,Q47,Q47_R2,0.895,319,0.683,1
961,Q47,Q47_R9,0.849,197,0.686,0
962,Q47,Q47_R11,0.889,222,0.626,1
963,Q47,Q47_R12,0.935,365,0.71,0
964,Q47,Q47_R13,0.941,278,0.704,0
965,Q47,Q47_R24,0.931,272,0.474,0
966,Q47,Q47_R26,0.909,341,0.565,0
967,Q47,Q47_R27,0.927,302,0.715,0
968,Q47,Q47_R31,0.95,123,0.516,0
969,Q47,Q47_R45,0.957,22,0.476,0
970,Q48,Q48_R4,0.962,301,0.806,1
971,Q48,Q48_R9,0.909,163,0.779,1
972,Q48,Q48_R10,0.959,241,0.766,1
973,Q48,Q48_R15,0.917,15,0.727,0
974,Q48,Q48_R19,0.925,286,0.632,0
975,Q48,Q48_R20,0.886,31,0.591,0
976,Q48,Q48_R28,0.906,10,0.594,0
977,Q48,Q48_R29,0.925,271,0.773,0
978,Q48,Q48_R37,0.957,203,0.756,0
979,Q48,Q48_R39,0.94,229,0.578,1
980,Q49,Q49_R3,0.873,315,0.692,0
981,Q49,Q49_R4,0.851,188,0.758,1
982,Q49,Q49_R6,0.82,179,0.782,1
983,Q49,Q49_R9,0.769,70,0.897,1
984,Q49,Q49_R15,0.792,43,0.662,1
985,Q49,Q49_R23,0.814,30,0.782,1
986,Q49,Q49_R25,0.867,188,0.676,1
987,Q49,Q49_R28,0.917,69,0.601,1
988,Q49,Q49_R31,0.771,20,0.871,1
989,Q49,Q49_R67,0.838,56,0.711,1
990,Q50,Q50_R1,0.879,101,0.717,0
991,Q50,Q50_R22,0.85,167,0.772,0
992,Q50,Q50_R26,0.794,58,0.807,0
993,Q50,Q50_R28,0.873,51,0.828,1
994,Q50,Q50_R29,0.845,85,0.809,1
995,Q50,Q50_R35,0.891,189,0.804,0
996,Q50,Q50_R43,0.871,7,0.783,0
997,Q50,Q50_R51,0.9,166,0.729,0
998,Q50,Q50_R65,0.802,41,0.851,0
999,Q50,Q50_R69,0.912,208,0.773,0
1000,Q51,Q51_R12,0.933,166,0.71,1
1001,Q51,Q51_R14,0.901,108,0.743,0
1002,Q51,Q51_R17,0.921,40,0.774,0
1003,Q51,Q51_R19,0.905,290,0.79,1
1004,Q51,Q51_R24,0.837,246,0.878,1
1005,Q51,Q51_R25,0.917,250,0.774,1
1006,Q51,Q51_R28,0.942,331,0.569,0
1007,Q51,Q51_R37,0.917,325,0.647,1
1008,Q51,Q51_R41,0.845,55,0.818,0
1009,Q51,Q51_R47,0.859,157,0.832,1
1010,Q52,Q52_R4,0.886,137,0.829,1
1011,Q52,Q52_R10,0.935,97,0.613,1
1012,Q52,Q52_R18,0.889,98,0.867,0
1013,Q52,Q52_R19,0.877,3,0.624,0
1014,Q52,Q52_R29,0.913,114,0.808,0
1015,Q52,Q52_R34,0.962,156,0.447,0
1016,Q52,Q52_R38,0.9,107,0.709,0
1017,Q52,Q52_R42,0.879,217,0.798,1
1018,Q52,Q52_R43,0.875,105,0.856,0
1019,Q52,Q52_R45,0.886,264,0.823,0
1020,Q53,Q53_R8,0.926,261,0.703,0
1021,Q53,Q53_R11,0.851,76,0.689,0
1022,Q53,Q53_R18,0.933,269,0.805,0
1023,Q53,Q53_R32,0.976,318,0.433,0
1024,Q53,Q53_R35,0.967,198,0.273,0
1025,Q53,Q53_R38,0.922,373,0.823,0
1026,Q53,Q53_R41,0.952,349,0.674,0
1027,Q53,Q53_R44,0.913,64,0.569,0
1028,Q53,Q53_R55,0.934,139,0.555,0
1029,Q53,Q53_R59,0.859,182,0.723,0
1030,Q54,Q54_R7,0.958,309,0.663,0
1031,Q54,Q54_R12,0.945,313,0.721,1
1032,Q54,Q54_R15,0.953,243,0.544,0
1033,Q54,Q54_R22,0.958,307,0.533,0
1034,Q54,Q54_R23,0.953,311,0.33,1
1035,Q54,Q54_R24,0.944,210,0.57,0
1036,Q54,Q54_R25,0.953,266,0.608,0
1037,Q54,Q54_R28,0.962,356,0.687,0
1038,Q54,Q54_R44,0.93,175,0.631,0
1039,Q54,Q54_R46,0.938,196,0.512,0
1040,Q55,Q55_R1,0.902,172,0.683,1
1041,Q55,Q55_R4,0.821,23,0.616,1
1042,Q55,Q55_R6,0.862,11,0.766,1
1043,Q55,Q55_R18,0.871,41,0.66,1
1044,Q55,Q55_R20,0.909,126,0.775,1
1045,Q55,Q55_R29,0.889,87,0.491,1
1046,Q55,Q55_R34,0.909,147,0.79,1
1047,Q55,Q55_R51,0.944,289,0.592,1
1048,Q55,Q55_R55,0.93,169,0.699,1
1049,Q55,Q55_R58,0.884,106,0.66,1
1050,Q56,Q56_R4,0.857,30,0.789,0
1051,Q56,Q56_R23,0.92,98,0.786,1
1052,Q56,Q56_R25,0.912,89,0.799,0
1053,Q56,Q56_R35,0.865,154,0.799,1
1054,Q56,Q56_R39,0.859,187,0.742,0
1055,Q56,Q56_R40,0.922,72,0.773,0
1056,Q56,Q56_R41,0.86,41,0.812,0
1057,Q56,Q56_R55,0.973,93,0.592,0
1058,Q56,Q56_R57,0.897,180,0.709,1
1059,Q56,Q56_R64,0.901,116,0.738,1
1060,Q57,Q57_R7,0.91,110,0.798,0
1061,Q57,Q57_R40,0.938,261,0.615,0
1062,Q57,Q57_R53,0.94,255,0.611,0
1063,Q57,Q57_R62,0.856,65,0.849,1
1064,Q57,Q57_R65,0.905,168,0.756,0
1065,Q57,Q57_R70,0.848,107,0.842,0
1066,Q57,Q57_R71,0.881,94,0.838,0
1067,Q57,Q57_R73,0.984,270,0.448,0
1068,Q57,Q57_R75,0.92,164,0.734,0
1069,Q57,Q57_R76,0.895,4,0.871,0
1070,Q58,Q58_R7,0.91,295,0.772,1
1071,Q58,Q58_R13,0.949,248,0.738,1
1072,Q58,Q58_R19,0.955,325,0.776,0
1073,Q58,Q58_R30,0.944,253,0.719,1
1074,Q58,Q58_R37,0.94,278,0.776,0
1075,Q58,Q58_R46,0.952,302,0.714,1
1076,Q58,Q58_R47,0.925,330,0.798,1
1077,Q58,Q58_R56,0.954,317,0.795,0
1078,Q58,Q58_R57,0.909,173,0.734,1
1079,Q58,Q58_R64,0.905,131,0.667,1
1080,Q59,Q59_R2,0.851,86,0.669,1
1081,Q59,Q59_R10,0.977,55,0.684,1
1082,Q59,Q59_R15,0.824,150,0.749,1
1083,Q59,Q59_R16,0.944,35,0.679,1
1084,Q59,Q59_R17,0.913,43,0.715,1
1085,Q59,Q59_R25,0.926,59,0.601,1
1086,Q59,Q59_R26,0.837,37,0.649,1
1087,Q59,Q59_R28,0.881,303,0.748,0
1088,Q59,Q59_R32,0.97,216,0.66,0
1089,Q59,Q59_R33,0.889,149,0.604,1
1090,Q60,Q60_R8,0.833,103,0.843,0
1091,Q60,Q60_R11,0.863,79,0.581,1
1092,Q60,Q60_R21,0.792,107,0.789,1
1093,Q60,Q60_R25,0.881,109,0.689,1
1094,Q60,Q60_R26,0.848,50,0.703,0
1095,Q60,Q60_R27,0.903,117,0.802,0
1096,Q60,Q60_R31,0.873,36,0.837,0
1097,Q60,Q60_R33,0.921,44,0.721,0
1098,Q60,Q60_R41,0.886,165,0.8,0
1099,Q60,Q60_R42,0.831,108,0.742,0
1100,Q61,Q61_R2,0.859,83,0.83,0
1101,Q61,Q61_R3,0.842,71,0.708,1
1102,Q61,Q61_R13,0.85,26,0.76,1
1103,Q61,Q61_R17,0.855,84,0.802,0
1104,Q61,Q61_R21,0.864,13,0.769,1
1105,Q61,Q61_R25,0.847,98,0.715,0
1106,Q61,Q61_R26,0.942,135,0.453,0
1107,Q61,Q61_R27,0.857,145,0.891,0
1108,Q61,Q61_R29,0.891,4,0.719,0
1109,Q61,Q61_R30,0.857,177,0.681,0
1110,Q62,Q62_R7,0.851,229,0.797,0
